Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Technical Data Quality,Price,Daily Return,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Trend State,RSI State,Stochastic State,Drawdown State,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Score,Technical Grade,Technical State,Technical Failed Reason,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,130036170752.0,80.41,A-,100.0,20.5,28.91,16.5,14.5,1,,12.1026745,3.7082334,5.0466166,7.433,0.0677955604276697,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,3.0,Yearly,0.151,0.114,0.15807,8815875072.0,12627999744.0,0.2727272727272727,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,OK,,15.807,9.0,4.0,3.5,7.0,1.5,OK,123.55000305175781,0.004063388765538578,113.5455274963379,110.1009098815918,0.08810981617697422,0.12215242530356796,52.209993169062116,33.146599685706185,31.154694959758704,False,False,0.26540471675437693,0.2644821520724061,135.0089504972229,-0.08487546494705034,5590300.0,8141105.0,0.6866758259474605,STRONG_UPTREND,NEUTRAL,BULLISH,NORMAL,30.0,20.0,15.0,10.0,4.0,87.78,A,STRONG_UPTREND,,10
2,APA,APA Corporation,Energy,Oil & Gas E&P,15720271872.0,78.87,B+,99.8,29.79,27.58,8.0,13.5,1,,10.218629,2.241035,1.8339094,3.511,0.1365593400342943,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,3.0,Yearly,0.092,0.263,0.48854,2146749952.0,4528000000.0,0.6842105263157895,0.8421052631578947,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,OK,,48.854,0.0,6.0,2.0,6.0,1.5,OK,43.70000076293945,-0.002510856126533345,40.34419815063477,34.36637541770935,0.08317931118063093,0.27159178795504824,52.38379028472197,27.237387006278666,32.99071942303496,False,False,0.28601904023766833,0.13507912573577507,47.439998626708984,-0.07883638220984035,5587000.0,5459010.0,1.023445643074477,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,30.0,18.0,15.0,7.0,6.0,84.44,B+,STRONG_UPTREND,,51
3,INCY,Incyte Corporation,Healthcare,Biotechnology,25400053760.0,78.64,B+,99.6,20.21,27.63,16.3,14.5,1,,14.102783,3.9695258,4.3646226,10.762,0.0464827589404283,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,3.0,Yearly,0.377,0.377,0.00603,1180664576.0,1979703040.0,0.4545454545454545,0.6271186440677966,0.3833333333333333,0.711864406779661,0.6333333333333333,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,OK,,0.603,6.3,6.0,4.0,7.0,1.5,OK,124.63999938964844,-8.02417658084531e-05,122.6715998840332,105.87100002288818,0.016046089783422257,0.17728178030530173,51.10793662877258,46.560306453723115,48.820194748622946,False,False,0.19386970850524743,0.3779989341621608,132.60000610351562,-0.060030213781838926,1534300.0,1431485.0,1.0718240149215674,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,30.0,20.0,15.0,7.0,6.0,86.67,A,STRONG_UPTREND,,22
4,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,63171502080.0,78.59,B+,99.4,29.7,20.9,13.5,14.5,1,,9.049241,2.0019872,0.9006872,3.911,0.2399598676758265,0.46113998,0.086780004,0.22827,0.18971,0.0983526693314704,3.0,Yearly,0.118,0.612,0.22261,15158625280.0,12469000192.0,0.5714285714285714,0.890625,0.953125,1.0,1.0,0.9365079365079364,0.84375,0.3125,0.359375,OK,,22.261,4.5,6.0,3.0,7.0,1.5,OK,225.66000366210938,-0.07082268345967002,256.6490826416016,222.08928199768067,-0.12074494348677256,0.016077865767813115,25.327848672464597,0.09798806802808543,5.471753916884711,False,False,-0.02138126691250719,0.09642333672146242,276.07103450236866,-0.18260166602094852,4131600.0,1746400.0,2.3657810352725606,UPTREND,OVERSOLD,OVERSOLD,CORRECTION,22.0,9.0,8.0,7.0,6.0,57.78,C+,OVERSOLD,,240
5,FSLR,"First Solar, Inc.",Technology,Solar,21059780608.0,78.47,B+,99.2,31.71,18.26,14.0,14.5,1,,8.428706,2.0405912,3.9158614,8.184,0.0759117499729653,0.18509,0.08619001,0.42641997,0.32465,0.258374947984624,3.0,Yearly,-0.037,0.233,0.0187999999999999,1598684800.0,2155742976.0,0.9324324324324323,0.9487179487179488,0.6455696202531646,0.9615384615384616,0.8607594936708861,0.3333333333333333,0.4936708860759494,0.8607594936708861,0.8607594936708861,OK,,1.88,9.0,5.0,0.0,7.0,1.5,OK,191.97000122070312,-0.039381481492227755,212.95520050048827,227.47030113220214,-0.0985427884853981,-0.15606564784414123,39.674537633234614,8.138084785326052,20.65655631022725,False,False,-0.22977853879894772,0.010794034706836042,320.95001220703125,-0.4018694690160304,2116500.0,2068810.0,1.023051899401105,STRONG_DOWNTREND,BEARISH,BEARISH,DEEP_CRASH,0.0,6.0,10.0,7.0,6.0,32.22,F,STRONG_DOWNTREND,,427
6,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,25937790976.0,77.42,B+,99.01,22.6,21.32,19.0,14.5,2,,18.712864,1.5550668,1.8588068,5.709,0.1150782273926826,0.21484,0.06409,0.37202,0.23843001,0.2438798815724228,3.0,Yearly,0.316,0.855,0.05255,2984875008.0,3416999936.0,0.6984126984126984,0.15625,0.765625,0.945945945945946,0.75,0.746031746031746,0.796875,0.59375,0.53125,OK,,5.255,9.0,6.0,4.0,7.0,1.5,OK,162.57000732421875,-0.025651774784122616,173.88299987792968,166.507236328125,-0.06506094650801364,-0.02364599335579276,29.78038495314466,1.496082575299739,7.630842203109235,False,False,-0.07530851725290755,0.026442420476924022,194.80999755859375,-0.16549453641196243,800400.0,614565.0,1.3023846135071149,DOWNTREND,OVERSOLD,OVERSOLD,CORRECTION,10.0,9.0,8.0,7.0,6.0,44.44,D,OVERSOLD,,323
7,ADBE,Adobe Inc.,Technology,Software - Application,98945695744.0,77.24,B+,98.81,26.79,24.65,13.3,12.5,2,,8.994958,8.358068,3.81,10.194,0.0922715777310973,0.61902,0.19731002,0.34822,0.28048,0.1052233993251612,3.0,Yearly,0.129,0.105,0.5748,9129875456.0,10805999616.0,0.4594594594594595,0.9102564102564102,0.6708860759493671,0.9102564102564102,0.9367088607594936,0.8133333333333334,0.8734177215189873,0.759493670886076,0.7721518987341772,OK,,57.48,6.3,4.0,3.0,5.0,1.5,OK,240.69000244140625,0.010241353374212947,257.1273989868164,263.7388500213623,-0.06392705176570046,-0.08739269007235428,39.191490587403614,5.743195482495386,7.288463796152686,False,False,0.22444927238781065,0.00761923791778818,368.7300109863281,-0.34724596515055395,3855100.0,5755130.0,0.6698545471605333,STRONG_DOWNTREND,BEARISH,OVERSOLD,DEEP_DRAWDOWN,0.0,16.0,10.0,7.0,4.0,41.11,D,STRONG_DOWNTREND,,347
8,EIX,Edison International,Utilities,Utilities - Regulated Electric,21284061184.0,76.94,B+,98.61,33.58,27.16,8.7,7.5,1,,8.505436,1.219921,1.0958173,7.416,0.0038702670175522,0.19734,0.04092,0.26899,0.19281,0.0390477611131692,3.0,Yearly,-0.041,0.551,2.28042,82375000.0,6391000064.0,0.967741935483871,0.935483870967742,0.935483870967742,1.0,0.935483870967742,0.935483870967742,0.967741935483871,0.7741935483870968,0.9032258064516128,OK,,228.042,2.7,6.0,0.0,0.0,1.5,OK,53.5099983215332,-0.026205685558014502,68.3188005065918,67.36133882522583,-0.2167602779212986,-0.20562745256045156,31.604727695759735,0.6162883512391011,23.708569672770036,False,False,-0.25767468901327895,-0.22457877421608097,81.62000274658203,-0.3444009247626003,3713000.0,7390675.0,0.5023898358404341,DOWNTREND,BEARISH,BEARISH,DEEP_DRAWDOWN,10.0,0.0,10.0,7.0,4.0,34.44,F,DOWNTREND,,413
9,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,130102091776.0,76.5,B+,98.41,18.07,28.72,15.65,14.06,1,,13.5680275,-11.802334,4.6068516,12.472,0.0593831743558883,,0.2038,0.34412,0.25527,0.1634869878187224,3.0,Yearly,0.081,1.3,,7725875200.0,9859000320.0,,0.6,0.109090909090909,0.4727272727272727,0.6666666666666666,,0.9636363636363636,0.9454545454545454,0.9454545454545454,PARTIAL,,,7.65,6.0,2.0,0.0,1.5,OK,155.89999389648438,-0.05066378798181281,191.77981536865235,183.5210011291504,-0.18708862245589986,-0.15050597513484631,21.460238641760085,1.1181337004167886,5.441133337728048,False,False,-0.13778481325648018,-0.08714671599517065,222.9545362694913,-0.30075433088276016,13865300.0,8076465.0,1.7167535549278057,DOWNTREND,EXTREME_OVERSOLD,OVERSOLD,DEEP_DRAWDOWN,10.0,3.0,8.0,7.0,6.0,37.78,D,OVERSOLD,,385
10,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,26117558272.0,76.39,B+,98.21,28.0,26.24,9.65,12.5,1,,7.93311,0.8953308,6.373861,12.116,0.0102241177838693,0.09849,0.04818,0.70182997,0.67496,0.1549005493277442,3.0,Yearly,0.057,-0.414,0.60277,267028992.0,2638275072.0,0.9642857142857144,1.0,0.6774193548387096,0.967741935483871,0.0967741935483871,0.7142857142857143,0.8709677419354839,1.0,1.0,OK,,60.277,7.65,0.0,2.0,5.0,1.5,OK,23.700000762939453,-0.014552951568570283,25.4850883102417,26.630416059494017,-0.070044393237785,-0.1100401619714777,31.370141674954027,0.0,6.381443757116081,False,False,-0.09267733668175115,-0.09209658933399856,30.84262062565862,-0.2315827811589094,12310100.0,10236380.0,1.2025833351243311,STRONG_DOWNTREND,BEARISH,OVERSOLD,MAJOR_DRAWDOWN,0.0,6.0,10.0,7.0,6.0,32.22,F,STRONG_DOWNTREND,,427
