Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw
1,NEM,Newmont Corporation,Basic Materials,Gold,135620739072.0,80.77,A-,100.0,20.86,28.91,16.5,14.5,1,,12.763,3.8674884,5.26335,7.761,0.0650038860746786,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,3.0,Yearly,0.151,0.114,0.15807,8815875072.0,12627999744.0,0.2727272727272727,0.6818181818181818,0.13636363636363635,0.9545454545454546,0.7727272727272727,0.9090909090909091,1.0,1.0,0.9545454545454546,OK,,15.807,9.0,4.0,3.5,7.0,1.5
2,APA,APA Corporation,Energy,Oil & Gas E&P,15709762560.0,79.44,B+,99.8,30.5,27.44,8.0,13.5,1,,10.327752,2.2395365,1.8326834,3.43,0.1366506937199692,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,3.0,Yearly,0.092,0.263,0.48854,2146749952.0,4528000000.0,0.7222222222222222,0.8888888888888888,0.7222222222222222,1.0,1.0,0.8333333333333334,1.0,1.0,0.7777777777777778,OK,,48.854,0.0,6.0,2.0,6.0,1.5
3,INCY,Incyte Corporation,Healthcare,Biotechnology,25541943296.0,79.04,B+,99.6,20.61,27.63,16.3,14.5,1,,14.181564,3.9917004,4.389004,10.835,0.0462245398604771,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,3.0,Yearly,0.377,0.377,0.00603,1180664576.0,1979703040.0,0.4444444444444444,0.6271186440677966,0.38333333333333336,0.7627118644067796,0.65,0.8363636363636363,0.95,0.9833333333333333,0.9333333333333333,OK,,0.603,6.3,6.0,4.0,7.0,1.5
4,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,64119717888.0,78.24,B+,99.4,29.34,20.9,13.5,14.5,1,,9.185072,2.0320375,0.9142067,3.966,0.2364112909304757,0.46113998,0.086780004,0.22827,0.18971,0.0983526693314704,3.0,Yearly,0.118,0.612,0.22261,15158625280.0,12469000192.0,0.5483870967741935,0.875,0.953125,1.0,1.0,0.9365079365079365,0.84375,0.3125,0.359375,OK,,22.261,4.5,6.0,3.0,7.0,1.5
5,FSLR,"First Solar, Inc.",Technology,Solar,21827115008.0,78.21,B+,99.2,31.27,18.44,14.0,14.5,1,,8.765418,2.114942,4.05854,8.963,0.0732430648491133,0.18509,0.08619001,0.42641997,0.32465,0.258374947984624,3.0,Yearly,-0.037,0.233,0.0187999999999999,1598684800.0,2155742976.0,0.9178082191780822,0.9358974358974359,0.6455696202531646,0.9487179487179487,0.8461538461538461,0.33783783783783783,0.5128205128205128,0.8607594936708861,0.8607594936708861,OK,,1.88,9.0,5.0,0.0,7.0,1.5
6,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,25970022400.0,77.82,B+,99.01,23.0,21.32,19.0,14.5,2,,18.736118,1.5569992,1.8611168,5.714,0.1149354036752775,0.21484,0.06409,0.37202,0.23843001,0.2438798815724228,3.0,Yearly,0.316,0.855,0.05255,2984875008.0,3416999936.0,0.7258064516129032,0.171875,0.765625,0.9459459459459459,0.75,0.746031746031746,0.796875,0.59375,0.53125,OK,,5.255,9.0,6.0,4.0,7.0,1.5
7,EIX,Edison International,Utilities,Utilities - Regulated Electric,22103713792.0,76.93,B+,98.81,33.57,27.16,8.7,7.5,1,,8.829099,1.2669004,1.1380174,7.508,0.0037267493044455,0.19734,0.04092,0.26899,0.19281,0.0390477611131692,3.0,Yearly,-0.041,0.551,2.28042,82375000.0,6391000064.0,0.9666666666666667,0.9354838709677419,0.9354838709677419,1.0,0.9354838709677419,0.9354838709677419,0.967741935483871,0.7741935483870968,0.9032258064516129,OK,,228.042,2.7,6.0,0.0,0.0,1.5
8,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,27758161920.0,76.69,B+,98.61,28.06,26.47,9.65,12.5,1,,8.4314375,0.95157206,6.774242,12.567,0.009619836960732,0.09849,0.04818,0.70182997,0.67496,0.1549005493277442,3.0,Yearly,0.057,-0.414,0.60277,267028992.0,2638275072.0,0.9629629629629629,1.0,0.7,0.9666666666666667,0.1,0.7407407407407407,0.8666666666666667,1.0,1.0,OK,,60.277,7.65,0.0,2.0,5.0,1.5
9,IT,"Gartner, Inc.",Technology,Information Technology Services,10715750400.0,75.97,B+,98.41,31.63,19.78,10.5,14.06,2,,10.37308,-65.31563,1.6578543,9.206,0.0982248545094891,1.13581,0.1017,0.22623,0.11996,0.0586658790595906,3.0,Yearly,-0.006,0.331,,1052553024.0,1382615040.0,,0.8589743589743589,0.8734177215189873,0.9358974358974359,0.9358974358974359,0.9054054054054054,0.5897435897435898,0.46835443037974683,0.3291139240506329,OK,,,4.5,6.0,0.0,0.0,1.5
10,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,130311913472.0,75.7,B+,98.21,17.27,28.72,15.65,14.06,1,,14.0121565,-12.191058,4.614281,13.366,0.0592875585520433,,0.2038,0.34412,0.25527,0.1634869878187224,3.0,Yearly,0.081,1.3,,7725875200.0,9859000320.0,,0.5818181818181818,0.1111111111111111,0.41818181818181815,0.6666666666666666,,0.9636363636363636,0.9454545454545454,0.9454545454545454,PARTIAL,,,7.65,6.0,2.0,0.0,1.5
11,ADBE,Adobe Inc.,Technology,Software - Application,101306851328.0,75.67,B+,98.01,26.12,24.76,12.3,12.5,3,,9.268257,8.828766,4.020432,10.562,0.0909945826482532,0.62953997,0.19926001,0.35327998,0.28689,0.1052233993251612,3.0,Yearly,0.127,0.079,0.61443,9218374656.0,10481000448.0,0.4246575342465753,0.8974358974358975,0.6582278481012658,0.8974358974358975,0.9230769230769231,0.8108108108108109,0.8846153846153846,0.759493670886076,0.7848101265822784,OK,,61.443,6.3,3.0,3.0,5.0,1.5
12,EOG,"EOG Resources, Inc.",Energy,Oil & Gas E&P,77111033856.0,75.0,B+,97.81,26.28,25.22,10.0,13.5,2,,10.202552,2.424467,2.8857841,5.491,0.0580818332219975,0.22507,0.11017,0.40717998,0.25733,-0.0851440310887836,3.0,Yearly,0.587,1.094,0.25891,4478750208.0,13358000128.0,0.6666666666666666,0.9444444444444444,0.2777777777777778,0.9444444444444444,0.6111111111111112,0.7222222222222222,0.9444444444444444,0.8333333333333334,0.8888888888888888,OK,,25.891,0.0,6.0,4.0,6.0,1.5
13,MU,"Micron Technology, Inc.",Technology,Semiconductors,1160756461568.0,74.99,B,97.61,17.85,28.14,14.5,14.5,4,,6.629695,11.520148,12.858149,16.271,0.0065814837383547,0.66638,0.3487,0.80370003,0.55906,0.0671348972693626,3.0,Yearly,3.457,13.685,0.0633,7639499776.0,51432001536.0,0.3561643835616438,0.9871794871794872,0.21518987341772153,0.6410256410256411,0.10256410256410256,0.8513513513513513,0.9615384615384616,1.0,0.9746835443037974,OK,,6.33,4.5,6.0,4.0,7.0,1.5
14,FICO,Fair Isaac Corporation,Technology,Software - Application,21234579456.0,74.94,B,97.42,16.14,28.44,16.3,14.06,5,,18.530466,-5.182622,8.871491,20.189,0.0364694533086777,,0.39981,0.53787,0.3405,0.1306838755794808,3.0,Yearly,0.257,0.412,,774413504.0,1001548992.0,,0.4358974358974359,0.3291139240506329,0.48717948717948717,0.5256410256410257,,0.9743589743589743,0.9493670886075949,0.8734177215189873,PARTIAL,,,6.3,6.0,4.0,0.0,1.5
15,WDC,Western Digital Corporation,Technology,Computer Hardware,173881671680.0,74.56,B,97.22,12.99,28.08,19.0,14.5,6,,15.1901455,,13.459375,34.326,0.013047666600395,1.30853,0.20758,0.43608,0.72947,0.2735046294980865,3.0,Yearly,0.438,9.841,0.13436,2268750080.0,3928999936.0,,0.6794871794871795,0.17721518987341772,0.23076923076923078,0.24358974358974358,0.9594594594594594,0.8974358974358975,0.8860759493670886,1.0,OK,,13.436,9.0,6.0,4.0,7.0,1.5
16,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,20901308416.0,74.45,B,97.02,22.91,28.55,9.5,13.5,2,,13.323313,3.6424296,2.7007763,6.508,0.0610846903260202,0.29867,0.12934,0.49325,0.27122,-0.1412477014500929,3.0,Yearly,0.176,0.996,0.4050399999999999,1276749952.0,2976999936.0,0.4090909090909091,0.6363636363636364,0.45454545454545453,1.0,0.7272727272727273,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9090909090909091,OK,,40.504,0.0,6.0,3.5,6.0,1.5
17,MAS,Masco Corporation,Industrials,Building Products & Equipment,13680863232.0,74.18,B,96.82,29.07,26.05,5.0,14.06,1,,14.887996,-37.48244,1.7953889,11.392,0.0655751743721547,58.625,0.15857,0.23645,0.11614,-0.0449216892403462,3.0,Yearly,-0.029,0.245,,897124992.0,1291000064.0,,0.8169014084507042,0.7323943661971831,0.8285714285714286,0.9,1.0,0.9285714285714286,0.7887323943661971,0.5070422535211268,OK,,,0.0,5.0,0.0,0.0,1.5
