Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Technical Data Quality,Price,Daily Return,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Trend State,RSI State,Stochastic State,Drawdown State,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Score,Technical Grade,Technical State,Technical Failed Reason,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,133618712576.0,80.86,A-,100.0,20.95,28.91,16.5,14.5,1,,12.574593,3.8103967,5.1856527,7.643,0.0659778477283687,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,3.0,Yearly,0.151,0.114,0.15807,8815875072.0,12627999744.0,0.3181818181818182,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,OK,,15.807,9.0,4.0,3.5,7.0,1.5,OK,124.38999938964844,0.02159984565765205,111.79756118774414,109.60193965911866,0.11263607245204166,0.13492516443160807,53.50961858689197,34.80276647582602,23.923830785510727,False,False,0.17960575637881737,0.1727049942461807,135.0089504972229,-0.07865368235562209,5362400.0,7837315.0,0.6842139176490928,STRONG_UPTREND,NEUTRAL,BULLISH,NORMAL,30.0,18.0,15.0,10.0,4.0,85.56,A,STRONG_UPTREND,,51
2,APA,APA Corporation,Energy,Oil & Gas E&P,15671223296.0,79.71,B+,99.8,30.63,27.58,8.0,13.5,1,,10.175067,2.2340426,1.8281875,3.502,0.1369867502652423,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,3.0,Yearly,0.092,0.263,0.48854,2146749952.0,4528000000.0,0.6842105263157895,0.9473684210526316,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,OK,,48.854,0.0,6.0,2.0,6.0,1.5,OK,45.459999084472656,0.014958654950887551,39.710424194335936,34.0839875125885,0.14478754651421744,0.33376410455738403,60.13855612310749,63.26531045552728,74.3883019608187,False,False,0.3492472754515459,0.25884695032626115,47.439998626708984,-0.0417369224189138,5075100.0,5236885.0,0.9691066349557036,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,30.0,20.0,15.0,7.0,6.0,86.67,A,STRONG_UPTREND,,40
3,INCY,Incyte Corporation,Healthcare,Biotechnology,24621694976.0,79.69,B+,99.6,21.26,27.63,16.3,14.5,1,,13.670618,3.847884,4.230873,10.361,0.0479522054493345,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,3.0,Yearly,0.377,0.377,0.00603,1180664576.0,1979703040.0,0.4545454545454545,0.6440677966101694,0.3833333333333333,0.8135593220338984,0.65,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,OK,,0.603,6.3,6.0,4.0,7.0,1.5,OK,127.62000274658203,0.023006034040737644,122.16879989624023,105.52290004730224,0.04462025373885625,0.2094057563749141,57.658431074448046,76.27121093643032,47.191753660537785,False,False,0.2892211890156138,0.38356467586941734,132.60000610351562,-0.0375565846735022,1468800.0,1275010.0,1.1519909647767468,STRONG_UPTREND,BULLISH,BULLISH,NORMAL,30.0,20.0,15.0,10.0,6.0,90.0,A,STRONG_UPTREND,,7
4,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,64152592384.0,78.59,B+,99.4,29.7,20.9,13.5,14.5,1,,9.189781,2.0330794,0.9146754,3.968,0.2362901438068875,0.46113998,0.086780004,0.22827,0.18971,0.0983526693314704,3.0,Yearly,0.118,0.612,0.22261,15158625280.0,12469000192.0,0.5714285714285714,0.890625,0.953125,1.0,1.0,0.9365079365079364,0.84375,0.3125,0.359375,OK,,22.261,4.5,6.0,3.0,7.0,1.5,OK,252.2100067138672,-0.010359032083272157,257.35335815429687,221.5901540374756,-0.019985561786786454,0.1381823701030196,44.69288082508593,11.662553800922153,27.46069113182848,False,False,0.14255920332365069,0.24568867510805203,276.07103450236866,-0.08643075443069259,1482400.0,1530015.0,0.9688793900713392,UPTREND,BEARISH,BEARISH,NORMAL,22.0,16.0,12.0,7.0,6.0,70.0,B,UPTREND,,171
5,FSLR,"First Solar, Inc.",Technology,Solar,22464409600.0,78.18,B+,99.2,31.34,18.35,14.0,14.5,1,,9.021346,2.176693,4.1770387,8.773,0.0711652266169505,0.18509,0.08619001,0.42641997,0.32465,0.258374947984624,3.0,Yearly,-0.037,0.233,0.0187999999999999,1598684800.0,2155742976.0,0.9324324324324323,0.935897435897436,0.6455696202531646,0.9487179487179488,0.8333333333333334,0.3378378378378378,0.5,0.8607594936708861,0.8607594936708861,OK,,1.88,9.0,5.0,0.0,7.0,1.5,OK,201.16000366210938,0.05280785027013324,214.7470004272461,228.44225112915038,-0.06326978601845401,-0.1194273271787053,44.13210828857355,37.23878747233197,21.49000132095757,False,False,-0.21051804845839217,0.016935474166432485,320.95001220703125,-0.3732357189245109,2660000.0,1969830.0,1.3503703365265023,STRONG_DOWNTREND,BEARISH,BULLISH,DEEP_DRAWDOWN,0.0,6.0,12.0,10.0,8.0,40.0,D,STRONG_DOWNTREND,,383
6,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,26060572672.0,77.74,B+,99.01,22.92,21.32,19.0,14.5,2,,18.801447,1.5624281,1.8676059,5.738,0.1145360482122869,0.21484,0.06409,0.37202,0.23843001,0.2438798815724228,3.0,Yearly,0.316,0.855,0.05255,2984875008.0,3416999936.0,0.7301587301587301,0.15625,0.765625,0.945945945945946,0.75,0.746031746031746,0.796875,0.59375,0.53125,OK,,5.255,9.0,6.0,4.0,7.0,1.5,OK,169.89999389648438,-0.0050946322785614395,174.66219940185547,166.43782051086427,-0.027265232670146466,0.020801602514340267,44.2093290697412,32.1100311975042,43.64350851931844,False,False,-0.0037259506981258683,0.07265598432425824,194.80999755859375,-0.12786819965241825,899200.0,495305.0,1.8154470477786415,UPTREND,BEARISH,BEARISH,CORRECTION,22.0,9.0,12.0,7.0,6.0,62.22,C+,UPTREND,,249
7,ADBE,Adobe Inc.,Technology,Software - Application,100261421056.0,77.27,B+,98.81,26.85,24.62,13.3,12.5,2,,9.11529,8.46921,3.8606632,10.328,0.0910607027093761,0.61902,0.19731002,0.34822,0.28048,0.1052233993251612,3.0,Yearly,0.129,0.105,0.5748,9129875456.0,10805999616.0,0.4594594594594595,0.9230769230769232,0.6835443037974683,0.9102564102564102,0.9230769230769232,0.8108108108108109,0.8717948717948718,0.759493670886076,0.7721518987341772,OK,,57.48,6.3,4.0,3.0,5.0,1.5,OK,252.6699981689453,0.008662667341098995,255.5333987426758,265.3578000640869,-0.01120558247109582,-0.047813939865635535,44.29097812284177,21.04866609357476,22.88445962584792,False,False,0.28729366079248364,0.027113813694899624,370.8599853515625,-0.3186916676129865,5111400.0,5110520.0,1.000172193827634,STRONG_DOWNTREND,BEARISH,BEARISH,DEEP_DRAWDOWN,0.0,16.0,12.0,7.0,6.0,45.56,C,STRONG_DOWNTREND,,350
8,EIX,Edison International,Utilities,Utilities - Regulated Electric,21549582336.0,76.94,B+,98.61,33.58,27.16,8.7,7.5,1,,8.607757,1.2351397,1.1094878,7.446,0.0038225798864967,0.19734,0.04092,0.26899,0.19281,0.0390477611131692,3.0,Yearly,-0.041,0.551,2.28042,82375000.0,6391000064.0,0.967741935483871,0.935483870967742,0.935483870967742,1.0,0.935483870967742,0.935483870967742,0.967741935483871,0.7741935483870968,0.9032258064516128,OK,,228.042,2.7,6.0,0.0,0.0,1.5,OK,55.5,0.012588918252522063,69.55960044860839,67.37281690597534,-0.2021230765837395,-0.17622562705883138,34.681800645039004,13.157892975670935,10.774856374436366,True,False,-0.2079148238748726,-0.21776828831219697,81.62000274658203,-0.3200196259203857,6002900.0,7026810.0,0.8542852304246166,DOWNTREND,BEARISH,OVERSOLD,DEEP_DRAWDOWN,10.0,0.0,10.0,15.0,6.0,45.56,C,RECOVERY,,350
9,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,27339753472.0,76.39,B+,98.41,28.0,26.24,9.65,12.5,1,,8.304348,0.9372287,6.6721315,12.452,0.009767059248485,0.09849,0.04818,0.70182997,0.67496,0.1549005493277442,3.0,Yearly,0.057,-0.414,0.60277,267028992.0,2638275072.0,0.9642857142857144,1.0,0.6774193548387096,0.967741935483871,0.0967741935483871,0.7142857142857143,0.8709677419354839,1.0,1.0,OK,,60.277,7.65,0.0,2.0,5.0,1.5,OK,24.110000610351562,0.00166185774966765,25.59310680389404,26.671810092926027,-0.057949439468475195,-0.0960493297473618,31.595150608962882,9.410365391208234,7.3582844341463085,True,False,-0.08249565330622366,-0.09643250290929573,30.842622554927438,-0.2182895417724543,9040600.0,9558645.0,0.9458035108532642,STRONG_DOWNTREND,BEARISH,OVERSOLD,MAJOR_DRAWDOWN,0.0,6.0,10.0,15.0,6.0,41.11,D,RECOVERY,,372
10,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,134766862336.0,76.35,B+,98.21,17.92,28.72,15.65,14.06,1,,14.051746,-12.225503,4.7720284,12.906,0.0573277070199786,,0.2038,0.34412,0.25527,0.1634869878187224,3.0,Yearly,0.081,1.3,,7725875200.0,9859000320.0,,0.5818181818181818,0.109090909090909,0.4727272727272727,0.6727272727272727,,0.9636363636363636,0.9454545454545454,0.9454545454545454,PARTIAL,,,7.65,6.0,2.0,0.0,1.5,OK,170.52000427246094,-0.005134128677711014,192.70626708984375,184.2220886230469,-0.11512994959857281,-0.07437807514289452,29.266554984938224,5.5570229519086025,4.535481512513887,True,False,-0.004067964578425287,-0.02221941653043602,222.95452043350036,-0.23518032313984338,7449800.0,6332240.0,1.176487309388147,DOWNTREND,OVERSOLD,OVERSOLD,MAJOR_DRAWDOWN,10.0,6.0,8.0,15.0,6.0,50.0,C,RECOVERY,,302
