Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Technical Data Quality,Price,Daily Return,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Trend State,RSI State,Stochastic State,Drawdown State,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Score,Technical Grade,Technical State,Technical Failed Reason,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,133618712576.0,80.86,A-,100.0,20.95,28.91,16.5,14.5,1,,12.574593,3.8103967,5.1856527,7.643,0.0659778477283687,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,3.0,Yearly,0.151,0.114,0.15807,8815875072.0,12627999744.0,0.3181818181818182,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,OK,,15.807,9.0,4.0,3.5,7.0,1.5,OK,121.76000213623047,-0.019566794890130357,111.16988891601562,109.43073001861572,0.09526062608747643,0.1126673660636035,49.86815447188246,13.112564618493678,16.63195611944168,False,False,0.12517024557805656,0.10139021181675911,135.0089504972229,-0.09813385195720759,6354300.0,8022790.0,0.7920312011158213,STRONG_UPTREND,NEUTRAL,OVERSOLD,NORMAL,30.0,16.0,12.0,7.0,4.0,76.67,B+,STRONG_UPTREND,,101
2,APA,APA Corporation,Energy,Oil & Gas E&P,15671223296.0,79.71,B+,99.8,30.63,27.58,8.0,13.5,1,,10.175067,2.2340426,1.8281875,3.502,0.1369867502652423,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,3.0,Yearly,0.092,0.263,0.48854,2146749952.0,4528000000.0,0.6842105263157895,0.9473684210526316,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,OK,,48.854,0.0,6.0,2.0,6.0,1.5,OK,44.790000915527344,-0.05526258047494548,39.49752349853516,33.97868047714233,0.13399517104378633,0.3181795257075346,58.06089547268069,60.32937739346545,78.15032136052434,False,False,0.31655723416715986,0.2658811540583801,47.439998626708984,-0.055859987097252484,9163400.0,5420220.0,1.6905955846810645,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,30.0,20.0,15.0,7.0,6.0,86.67,A,STRONG_UPTREND,,30
3,INCY,Incyte Corporation,Healthcare,Biotechnology,24621694976.0,79.69,B+,99.6,21.26,27.63,16.3,14.5,1,,13.670618,3.847884,4.230873,10.361,0.0479522054493345,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,3.0,Yearly,0.377,0.377,0.00603,1180664576.0,1979703040.0,0.4545454545454545,0.6440677966101694,0.3833333333333333,0.8135593220338984,0.65,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,OK,,0.603,6.3,6.0,4.0,7.0,1.5,OK,124.75,0.024724841375459494,121.9615998840332,105.40710002899169,0.022862934879651853,0.18350661355533116,52.28354439180466,47.65702254284784,24.954302584076814,False,False,0.2506265664160401,0.3240288514514311,132.60000610351562,-0.05920064662280211,1347300.0,1281015.0,1.0517441247760564,STRONG_UPTREND,NEUTRAL,BULLISH,NORMAL,30.0,20.0,15.0,10.0,6.0,90.0,A,STRONG_UPTREND,,5
4,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,64152592384.0,78.59,B+,99.4,29.7,20.9,13.5,14.5,1,,9.189781,2.0330794,0.9146754,3.968,0.2362901438068875,0.46113998,0.086780004,0.22827,0.18971,0.0983526693314704,3.0,Yearly,0.118,0.612,0.22261,15158625280.0,12469000192.0,0.5714285714285714,0.890625,0.953125,1.0,1.0,0.9365079365079364,0.84375,0.3125,0.359375,OK,,22.261,4.5,6.0,3.0,7.0,1.5,OK,254.85000610351562,-0.00917532533713672,257.3117379760742,221.3737942504883,-0.009567118437431965,0.15122030123921726,47.68889299433428,28.039710689002035,40.42595216707165,False,False,0.14711847597121674,0.24117719230594026,276.07103450236866,-0.07686800043005226,1432100.0,1516410.0,0.9444015800476124,UPTREND,NEUTRAL,BEARISH,NORMAL,22.0,16.0,12.0,7.0,6.0,70.0,B,UPTREND,,149
5,FSLR,"First Solar, Inc.",Technology,Solar,22464409600.0,78.18,B+,99.2,31.34,18.35,14.0,14.5,1,,9.021346,2.176693,4.1770387,8.773,0.0711652266169505,0.18509,0.08619001,0.42641997,0.32465,0.258374947984624,3.0,Yearly,-0.037,0.233,0.0187999999999999,1598684800.0,2155742976.0,0.9324324324324323,0.935897435897436,0.6455696202531646,0.9487179487179488,0.8333333333333334,0.3378378378378378,0.5,0.8607594936708861,0.8607594936708861,OK,,1.88,9.0,5.0,0.0,7.0,1.5,OK,191.07000732421875,-0.055698276256029744,215.20980041503907,228.8010511779785,-0.11216865144740595,-0.1649076508149857,35.63506219213714,5.28819927455527,22.951990507444364,False,False,-0.277235520080235,-0.04665198548123395,320.95001220703125,-0.40467362499750403,3090200.0,1919710.0,1.6097223018060018,STRONG_DOWNTREND,BEARISH,BEARISH,DEEP_CRASH,0.0,3.0,10.0,7.0,6.0,28.89,F,STRONG_DOWNTREND,,444
6,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,26060572672.0,77.74,B+,99.01,22.92,21.32,19.0,14.5,2,,18.801447,1.5624281,1.8676059,5.738,0.1145360482122869,0.21484,0.06409,0.37202,0.23843001,0.2438798815724228,3.0,Yearly,0.316,0.855,0.05255,2984875008.0,3416999936.0,0.7301587301587301,0.15625,0.765625,0.945945945945946,0.75,0.746031746031746,0.796875,0.59375,0.53125,OK,,5.255,9.0,6.0,4.0,7.0,1.5,OK,170.77000427246094,-0.005242581150368908,174.89559967041015,166.41250427246095,-0.023588903355624025,0.026184931349062746,46.43134240716283,43.51251899848012,52.90523424792682,False,False,-0.0004895033197988008,0.04824553762519335,194.80999755859375,-0.12340225649303349,768700.0,470255.0,1.634645033014003,UPTREND,NEUTRAL,BEARISH,CORRECTION,22.0,9.0,12.0,7.0,6.0,62.22,C+,UPTREND,,231
7,ADBE,Adobe Inc.,Technology,Software - Application,100261421056.0,77.27,B+,98.81,26.85,24.62,13.3,12.5,2,,9.11529,8.46921,3.8606632,10.328,0.0910607027093761,0.61902,0.19731002,0.34822,0.28048,0.1052233993251612,3.0,Yearly,0.129,0.105,0.5748,9129875456.0,10805999616.0,0.4594594594594595,0.9230769230769232,0.6835443037974683,0.9102564102564102,0.9230769230769232,0.8108108108108109,0.8717948717948718,0.759493670886076,0.7721518987341772,OK,,57.48,6.3,4.0,3.0,5.0,1.5,OK,250.5,-0.028165772387370502,254.898798828125,265.6951000976562,-0.017257040238510712,-0.0571899899248095,42.94197630512781,16.955874705263938,31.013471880747762,False,False,0.20827701693186773,-0.01455545630472821,370.8599853515625,-0.32454292753494385,4469100.0,5132040.0,0.8708232983375032,STRONG_DOWNTREND,BEARISH,BEARISH,DEEP_DRAWDOWN,0.0,13.0,12.0,7.0,6.0,42.22,D,STRONG_DOWNTREND,,366
8,EIX,Edison International,Utilities,Utilities - Regulated Electric,21549582336.0,76.94,B+,98.61,33.58,27.16,8.7,7.5,1,,8.607757,1.2351397,1.1094878,7.446,0.0038225798864967,0.19734,0.04092,0.26899,0.19281,0.0390477611131692,3.0,Yearly,-0.041,0.551,2.28042,82375000.0,6391000064.0,0.967741935483871,0.935483870967742,0.935483870967742,1.0,0.935483870967742,0.935483870967742,0.967741935483871,0.7741935483870968,0.9032258064516128,OK,,228.042,2.7,6.0,0.0,0.0,1.5,OK,54.810001373291016,0.004582111321617122,69.94520042419434,67.37866874694824,-0.2163865277261826,-0.18653778128002108,32.81731988345366,10.131583614472023,11.695910444305092,False,False,-0.2303545911923004,-0.23024771599449945,81.62000274658203,-0.3284734191510883,4413000.0,6833400.0,0.6457985775748529,DOWNTREND,BEARISH,OVERSOLD,DEEP_DRAWDOWN,10.0,0.0,10.0,7.0,4.0,34.44,F,DOWNTREND,,399
9,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,27339753472.0,76.39,B+,98.41,28.0,26.24,9.65,12.5,1,,8.304348,0.9372287,6.6721315,12.452,0.009767059248485,0.09849,0.04818,0.70182997,0.67496,0.1549005493277442,3.0,Yearly,0.057,-0.414,0.60277,267028992.0,2638275072.0,0.9642857142857144,1.0,0.6774193548387096,0.967741935483871,0.0967741935483871,0.7142857142857143,0.8709677419354839,1.0,1.0,OK,,60.277,7.65,0.0,2.0,5.0,1.5,OK,24.530000686645508,-0.009289157516567448,26.11260009765625,27.195912456512453,-0.06060673410890216,-0.09802619324245376,30.591577141610856,6.778652987293797,10.005378467124672,False,False,-0.10952548775776139,-0.11432138915513479,31.432052764869674,-0.21958642440109122,9717500.0,9429665.0,1.0305244141759013,STRONG_DOWNTREND,BEARISH,OVERSOLD,MAJOR_DRAWDOWN,0.0,3.0,10.0,7.0,6.0,28.89,F,STRONG_DOWNTREND,,444
10,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,134766862336.0,76.35,B+,98.21,17.92,28.72,15.65,14.06,1,,14.051746,-12.225503,4.7720284,12.906,0.0573277070199786,,0.2038,0.34412,0.25527,0.1634869878187224,3.0,Yearly,0.081,1.3,,7725875200.0,9859000320.0,,0.5818181818181818,0.109090909090909,0.4727272727272727,0.6727272727272727,,0.9636363636363636,0.9454545454545454,0.9454545454545454,PARTIAL,,,7.65,6.0,2.0,0.0,1.5,OK,171.39999389648438,0.00046688401147587655,192.77326873779296,184.34351058959962,-0.1108726068777729,-0.07021411630774,29.83670595537221,4.50036270937206,6.675716186630214,False,False,-0.022228903450058235,-0.03065589447946404,222.9545362694913,-0.23123343097487614,5981900.0,6216980.0,0.9621874286229005,DOWNTREND,OVERSOLD,OVERSOLD,MAJOR_DRAWDOWN,10.0,6.0,8.0,7.0,6.0,41.11,D,OVERSOLD,,368
