Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Technical Data Quality,Price,Daily Return,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Trend State,RSI State,Stochastic State,Drawdown State,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Score,Technical Grade,Technical State,Technical Failed Reason,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,133618712576.0,80.86,A-,100.0,20.95,28.91,16.5,14.5,1,,12.574593,3.8103967,5.1856527,7.643,0.0659778477283687,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,3.0,Yearly,0.151,0.114,0.15807,8815875072.0,12627999744.0,0.3181818181818182,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,OK,,15.807,9.0,4.0,3.5,7.0,1.5,OK,124.19000244140625,0.00910053424359547,110.63193939208985,109.2716275024414,0.12255107452528136,0.1365256039462901,53.46080320710468,23.856161262212463,25.662301712943645,False,False,0.17626198178415442,0.1320365476743357,135.0089504972229,-0.08013504301730867,5821400.0,8032030.0,0.7247731893431673,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,30.0,18.0,15.0,7.0,4.0,82.22,B+,STRONG_UPTREND,,76
2,APA,APA Corporation,Energy,Oil & Gas E&P,15671223296.0,79.71,B+,99.8,30.63,27.58,8.0,13.5,1,,10.175067,2.2340426,1.8281875,3.502,0.1369867502652423,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,3.0,Yearly,0.092,0.263,0.48854,2146749952.0,4528000000.0,0.6842105263157895,0.9473684210526316,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,OK,,48.854,0.0,6.0,2.0,6.0,1.5,OK,47.40999984741211,0.05285367827301535,39.27697090148926,33.875257873535155,0.20706863994989178,0.3995465370154685,71.61490644320521,99.57021803346332,83.27694095192341,False,False,0.37312871013870996,0.3915245433828938,47.439998626708984,-0.0006323520270926641,6427700.0,5257450.0,1.2225888976595118,STRONG_UPTREND,OVERBOUGHT,OVERBOUGHT,NEAR_52W_HIGH,30.0,20.0,6.0,10.0,8.0,82.22,B+,STRONG_UPTREND,,76
3,INCY,Incyte Corporation,Healthcare,Biotechnology,24621694976.0,79.69,B+,99.6,21.26,27.63,16.3,14.5,1,,13.670618,3.847884,4.230873,10.361,0.0479522054493345,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,3.0,Yearly,0.377,0.377,0.00603,1180664576.0,1979703040.0,0.4545454545454545,0.6440677966101694,0.3833333333333333,0.8135593220338984,0.65,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,OK,,0.603,6.3,6.0,4.0,7.0,1.5,OK,121.73999786376953,-0.003682826488627944,121.82759994506836,105.31160003662109,-0.0007190659697664525,0.15599798902908724,45.55254132787296,17.64702750233522,9.24632216904243,False,False,0.19376342279255732,0.309032235094296,132.60000610351562,-0.08190051085871075,1564000.0,1273220.0,1.2283815837011671,UPTREND,NEUTRAL,OVERSOLD,NORMAL,22.0,20.0,12.0,12.0,6.0,80.0,B+,UPTREND,,92
4,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,64152592384.0,78.59,B+,99.4,29.7,20.9,13.5,14.5,1,,9.189781,2.0330794,0.9146754,3.968,0.2362901438068875,0.46113998,0.086780004,0.22827,0.18971,0.0983526693314704,3.0,Yearly,0.118,0.612,0.22261,15158625280.0,12469000192.0,0.5714285714285714,0.890625,0.953125,1.0,1.0,0.9365079365079364,0.84375,0.3125,0.359375,OK,,22.261,4.5,6.0,3.0,7.0,1.5,OK,257.2099914550781,-0.00491341487646868,257.2230938720703,221.14859886169432,-5.0937949602203325e-05,0.1630640789903286,50.498903679756445,42.67980890556122,38.0686348472529,False,False,0.16442207714516943,0.2494158551196175,276.07103450236866,-0.06831952899835536,1255700.0,1516905.0,0.8278039824511093,UPTREND,NEUTRAL,BULLISH,NORMAL,22.0,18.0,15.0,10.0,6.0,78.89,B+,UPTREND,,105
5,FSLR,"First Solar, Inc.",Technology,Solar,22464409600.0,78.18,B+,99.2,31.34,18.35,14.0,14.5,1,,9.021346,2.176693,4.1770387,8.773,0.0711652266169505,0.18509,0.08619001,0.42641997,0.32465,0.258374947984624,3.0,Yearly,-0.037,0.233,0.0187999999999999,1598684800.0,2155742976.0,0.9324324324324323,0.935897435897436,0.6455696202531646,0.9487179487179488,0.8333333333333334,0.3378378378378378,0.5,0.8607594936708861,0.8607594936708861,OK,,1.88,9.0,5.0,0.0,7.0,1.5,OK,202.33999633789062,-0.022700913353231766,215.94280029296874,229.20675109863282,-0.06299262553149831,-0.11721624529803154,42.30907476373577,21.943017215985442,37.841962412329565,False,False,-0.2602099041593434,0.014337280286780718,320.95001220703125,-0.369559156746909,1446100.0,1860305.0,0.7773456503100298,STRONG_DOWNTREND,BEARISH,BEARISH,DEEP_DRAWDOWN,0.0,6.0,12.0,7.0,4.0,32.22,F,STRONG_DOWNTREND,,421
6,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,26060572672.0,77.74,B+,99.01,22.92,21.32,19.0,14.5,2,,18.801447,1.5624281,1.8676059,5.738,0.1145360482122869,0.21484,0.06409,0.37202,0.23843001,0.2438798815724228,3.0,Yearly,0.316,0.855,0.05255,2984875008.0,3416999936.0,0.7301587301587301,0.15625,0.765625,0.945945945945946,0.75,0.746031746031746,0.796875,0.59375,0.53125,OK,,5.255,9.0,6.0,4.0,7.0,1.5,OK,171.6699981689453,-0.0020346825649489864,175.2613995361328,166.38721519470215,-0.020491684858690573,0.03174993323892927,48.78674432003351,55.30797536197104,48.6675732608058,False,False,0.019315096331311343,0.042382631757033495,194.80999755859375,-0.11878240172293275,642000.0,453100.0,1.4169057603178106,UPTREND,NEUTRAL,BULLISH,CORRECTION,22.0,12.0,12.0,10.0,6.0,68.89,B,UPTREND,,185
7,ADBE,Adobe Inc.,Technology,Software - Application,100261421056.0,77.27,B+,98.81,26.85,24.62,13.3,12.5,2,,9.11529,8.46921,3.8606632,10.328,0.0910607027093761,0.61902,0.19731002,0.34822,0.28048,0.1052233993251612,3.0,Yearly,0.129,0.105,0.5748,9129875456.0,10805999616.0,0.4594594594594595,0.9230769230769232,0.6835443037974683,0.9102564102564102,0.9230769230769232,0.8108108108108109,0.8717948717948718,0.759493670886076,0.7721518987341772,OK,,57.48,6.3,4.0,3.0,5.0,1.5,OK,257.760009765625,-0.029518057822766175,254.31959869384767,266.03020004272463,0.013527903824348764,-0.0310874114133336,46.43520938266998,30.64883807870507,32.10110899135537,False,False,0.24907932255886545,0.023425748991405815,370.8599853515625,-0.30496678006046574,4888900.0,5147290.0,0.9498007689483203,DOWNTREND,NEUTRAL,BEARISH,DEEP_DRAWDOWN,8.0,16.0,12.0,7.0,6.0,54.44,C,DOWNTREND,,285
8,EIX,Edison International,Utilities,Utilities - Regulated Electric,21549582336.0,76.94,B+,98.61,33.58,27.16,8.7,7.5,1,,8.607757,1.2351397,1.1094878,7.446,0.0038225798864967,0.19734,0.04092,0.26899,0.19281,0.0390477611131692,3.0,Yearly,-0.041,0.551,2.28042,82375000.0,6391000064.0,0.967741935483871,0.935483870967742,0.935483870967742,1.0,0.935483870967742,0.935483870967742,0.967741935483871,0.7741935483870968,0.9032258064516128,OK,,228.042,2.7,6.0,0.0,0.0,1.5,OK,54.560001373291016,-0.027970776143741438,70.3638003540039,67.38902904510498,-0.2246012708410171,-0.1903726445327949,32.16587295311699,9.035092533166111,13.435674285575338,False,False,-0.234714736470937,-0.23428380316994357,81.62000274658203,-0.3315363938091046,4911000.0,6774060.0,0.7249714351511501,DOWNTREND,BEARISH,OVERSOLD,DEEP_DRAWDOWN,10.0,0.0,10.0,7.0,4.0,34.44,F,DOWNTREND,,409
9,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,27339753472.0,76.39,B+,98.41,28.0,26.24,9.65,12.5,1,,8.304348,0.9372287,6.6721315,12.452,0.009767059248485,0.09849,0.04818,0.70182997,0.67496,0.1549005493277442,3.0,Yearly,0.057,-0.414,0.60277,267028992.0,2638275072.0,0.9642857142857144,1.0,0.6774193548387096,0.967741935483871,0.0967741935483871,0.7142857142857143,0.8709677419354839,1.0,1.0,OK,,60.277,7.65,0.0,2.0,5.0,1.5,OK,24.760000228881836,-0.011182135639295376,26.157400093078614,27.21054262161255,-0.053422735410410205,-0.09005856394735468,33.13868310972647,5.885839699584065,10.0215984475371,False,False,-0.10053389246778077,-0.106017040628405,31.432056623407316,-0.2122691643904977,12761300.0,9242320.0,1.3807463926806256,STRONG_DOWNTREND,BEARISH,OVERSOLD,MAJOR_DRAWDOWN,0.0,3.0,10.0,7.0,6.0,28.89,F,STRONG_DOWNTREND,,450
10,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,134766862336.0,76.35,B+,98.21,17.92,28.72,15.65,14.06,1,,14.051746,-12.225503,4.7720284,12.906,0.0573277070199786,,0.2038,0.34412,0.25527,0.1634869878187224,3.0,Yearly,0.081,1.3,,7725875200.0,9859000320.0,,0.5818181818181818,0.109090909090909,0.4727272727272727,0.6727272727272727,,0.9636363636363636,0.9454545454545454,0.9454545454545454,PARTIAL,,,7.65,6.0,2.0,0.0,1.5,OK,171.32000732421875,-0.02298259845464634,192.97550170898438,184.45996810913087,-0.11221887852595447,-0.07123475580966276,29.721148576895345,3.549058876261047,8.15583962730947,False,False,-0.016641365158610366,0.0025896029406460297,222.95452043350036,-0.2315921337180621,8988300.0,6144700.0,1.4627727960681562,DOWNTREND,OVERSOLD,OVERSOLD,MAJOR_DRAWDOWN,10.0,9.0,8.0,7.0,6.0,44.44,D,OVERSOLD,,335
