Signal Rank,Ticker,Short Name,Sector,Industry,Combined Score,Fundamental Score,Technical Score,Fundamental Grade,Technical Grade,Primary Signal,Signals,Radar Category,Signal Confidence,Signal Count,Risk Flags,Risk Flag Count,Signal Quality Value,Signal Fallen Angel,Signal Recovery,Signal Deep Value Reversal,Signal Quality Momentum,Value Score,Quality Score,Growth Score,Stability Score,Price,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Technical State,Trend State,RSI State,Stochastic State,Drawdown State,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,Data Quality,Technical Data Quality,Failed Reason,Technical Failed Reason,Fundamental Rank,Market Cap,Fundamental Percentile,Sector Fundamental Rank,Quality Value Signal,Revenue CAGR Years Used,Revenue CAGR Method,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Daily Return,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,82.42,80.41,84.44,A-,B+,QUALITY_MOMENTUM,QUALITY_MOMENTUM,MOMENTUM,MEDIUM,1,,0,False,False,False,False,True,20.5,28.91,16.5,14.5,123.0500030517578,112.9326594543457,109.92853527069092,0.0895874023183007,0.1193636188161357,51.417945969088784,28.47806853200853,31.706750556465323,False,False,0.2112588029570545,0.2901259320638938,135.0089504972229,-0.0885789231115539,5645600.0,8185290.0,0.6897251044251334,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,12.1026745,3.7082334,5.0466166,7.433,0.0677955604276697,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,0.151,0.114,0.15807,8815875072.0,12627999744.0,OK,OK,,,1,130036170752.0,100.0,1,,3.0,Yearly,0.2727272727272727,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,15.807,9.0,4.0,3.5,7.0,1.5,-0.0029171104421747,30.0,20.0,15.0,7.0,4.0,46
2,IT,"Gartner, Inc.",Technology,Information Technology Services,71.66,75.53,67.78,B+,B,RECOVERY,RECOVERY,RECOVERY,MEDIUM,1,,0,False,False,True,False,False,31.14,19.83,10.5,14.06,183.32000732421875,173.70120056152345,175.2577499771118,0.0553755917149714,0.0460022871922061,49.602848854127046,46.82178048641568,53.07909448287001,False,False,0.4580450364245476,0.1357412995787739,265.8500061035156,-0.3104382053207916,715800.0,1157845.0,0.6182174643410819,UPTREND,NEUTRAL,NEUTRAL,BEARISH,DEEP_DRAWDOWN,11.356655,-71.50885,1.8150518,9.807,0.0897178223564378,1.13581,0.1017,0.22623,0.11996,0.0586658790595906,-0.006,0.331,,1052553024.0,1382615040.0,OK,OK,,,12,11731816448.0,97.81,3,,3.0,Yearly,,0.8461538461538461,0.8734177215189873,0.9230769230769232,0.9113924050632912,0.9066666666666666,0.5949367088607594,0.4683544303797468,0.3291139240506329,,4.5,6.0,0.0,0.0,1.5,-0.0132414224956506,20.0,18.0,12.0,7.0,4.0,191
,INCY,Incyte Corporation,Healthcare,Biotechnology,82.66,78.64,86.67,B+,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,20.21,27.63,16.3,14.5,124.6500015258789,122.4633999633789,105.75530002593996,0.0178551433583737,0.1786643458559942,51.13015786926261,46.66002866157736,58.72382957619201,False,False,0.202488878277379,0.3730998369908147,132.60000610351562,-0.0599547828936785,1270500.0,1394745.0,0.9109192002839228,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,14.102783,3.9695258,4.3646226,10.762,0.0464827589404283,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,0.377,0.377,0.00603,1180664576.0,1979703040.0,OK,OK,,,3,25400053760.0,99.6,1,,3.0,Yearly,0.4545454545454545,0.6271186440677966,0.3833333333333333,0.711864406779661,0.6333333333333333,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,0.603,6.3,6.0,4.0,7.0,1.5,-0.0052669064366251,30.0,20.0,15.0,7.0,6.0,28
,APA,APA Corporation,Energy,Oil & Gas E&P,81.66,78.87,84.44,B+,B+,NONE,,NONE,NONE,0,,0,False,False,False,False,False,29.79,27.58,8.0,13.5,43.810001373291016,40.15875183105469,34.27954189300537,0.0909203940798983,0.2780217865814101,52.851452019416776,22.929979638745667,45.00002723945119,False,False,0.2900102385072334,0.1356087112324762,47.43999862670898,-0.0765176508958468,6000900.0,5489915.0,1.093077033068818,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,10.218629,2.241035,1.8339094,3.511,0.1365593400342943,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,0.092,0.263,0.48854,2146749952.0,4528000000.0,OK,OK,,,2,15720271872.0,99.8,1,,3.0,Yearly,0.6842105263157895,0.8421052631578947,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,48.854,0.0,6.0,2.0,6.0,1.5,-0.0236237482466377,30.0,18.0,15.0,7.0,6.0,46
,NVDA,NVIDIA Corporation,Technology,Semiconductors,80.69,73.6,87.78,B,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,10.99,29.11,19.0,14.5,227.3800048828125,214.40009399414063,198.25313751220705,0.0605406026035912,0.1469175607312245,58.389393392802745,72.16166982396108,55.01756881205182,False,False,0.090987042641075,0.3196280105257985,236.0005559723521,-0.03652767280154,109806100.0,135247230.0,0.8118916742324408,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,NORMAL,14.173006,23.438786,17.715132,26.498,0.0077899531839449,1.17211,0.53572,0.66236997,0.63663,1.0004509499443963,1.059,1.278,0.16971,41809874944.0,134359998464.0,OK,OK,,,17,5367153557504.0,96.82,6,,3.0,Yearly,0.1621621621621621,0.717948717948718,0.1012658227848101,0.3205128205128205,0.1265822784810126,0.9333333333333332,1.0,0.9746835443037974,0.9873417721518988,16.971,9.0,6.0,4.0,7.0,1.5,0.0229900594417935,30.0,18.0,15.0,10.0,6.0,17
,MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,79.72,72.77,86.67,B,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,23.31,26.7,8.7,14.06,43.15999984741211,40.11700035095215,34.94642230987549,0.0758531163805655,0.2350334310249422,59.70394529799909,63.21240942566085,67.7029201206472,False,False,0.2312817801636495,0.4057331085893505,44.935001373291016,-0.0395015349200357,4370600.0,3480100.0,1.2558834516249533,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,9.437384,-41.901066,2.8257906,10.935,0.0938490694052353,,0.17361,0.28771,0.20169,0.0302622369907936,-0.012,0.504,,930664000.0,1207619968.0,PARTIAL,OK,,,20,9916603392.0,96.22,1,,3.0,Yearly,,0.8,0.35,0.55,0.8,,1.0,0.8,0.8,,2.7,6.0,0.0,0.0,1.5,-0.0009259471023357,30.0,20.0,15.0,7.0,6.0,28
,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,79.44,66.65,92.22,B-,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,12.7,23.3,17.15,13.5,501.6099853515625,466.5441528320313,430.1491760253906,0.0751608016233265,0.166130294579371,57.26019361272711,52.64746205119126,38.619933856884806,False,False,0.3680902385308271,0.3188854245711432,549.2013167264516,-0.0866555303591772,27959900.0,21326310.0,1.3110519353793506,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,NORMAL,20.929373,8.289767,11.049291,19.144,0.0045125085995553,0.34039003,0.14088,0.45111,0.40305,0.1612397915820203,0.177,0.317,0.29118,16545500160.0,182934994944.0,OK,OK,,,51,3666585845760.0,90.06,13,,3.0,Yearly,0.4729729729729729,0.358974358974359,0.2658227848101265,0.5,0.050632911392405,0.5866666666666667,0.7848101265822784,0.8987341772151899,0.9113924050632912,29.118,7.65,6.0,3.5,6.0,1.5,0.0158572372141896,30.0,20.0,15.0,10.0,8.0,2
,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,77.33,64.65,90.0,C+,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,22.8,21.85,12.5,7.5,104.7699966430664,95.82199951171874,94.7946997833252,0.0933814486959578,0.1052305338013834,58.986532846729496,91.45831092640444,59.21296092708437,False,False,0.3971196109832762,0.2341853857504228,148.19000244140625,-0.2930022611714845,2677200.0,2048140.0,1.3071372074174616,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,MAJOR_DRAWDOWN,8.837905,1838.8679,2.4182687,10.864,0.0976214625868004,4.42861,0.09882,0.27056998,0.17834999,0.0656472226630486,0.066,0.298,573.3433,1204950016.0,1728800000.0,OK,OK,,,73,12343085056.0,85.69,21,,3.0,Yearly,0.0135135135135135,0.9230769230769232,0.8354430379746836,0.8846153846153846,0.9493670886075948,1.0,0.5822784810126582,0.5569620253164557,0.4683544303797468,57334.33,4.5,6.0,2.0,0.0,1.5,0.0750051059641183,30.0,18.0,15.0,10.0,8.0,6
,MU,"Micron Technology, Inc.",Technology,Semiconductors,76.66,74.44,78.89,B,B+,NONE,,NONE,NONE,0,,0,False,False,False,False,False,17.27,28.17,14.5,14.5,1043.9599609375,928.5502014160156,644.0407718658447,0.1242902746081875,0.6209532168484504,61.24409971325163,87.31853268315635,73.95595603581991,False,False,-0.138073506422381,1.4699909123978547,1254.8069810301963,-0.1680314369303165,28174400.0,25153520.0,1.120097704019159,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,CORRECTION,6.489501,11.385978,12.708394,16.528,0.0066590390804444,0.66638,0.3487,0.80370003,0.55906,0.0671348972693626,3.457,13.685,0.0633,7639499776.0,51432001536.0,OK,OK,,,15,1147237564416.0,97.22,5,,3.0,Yearly,0.3378378378378378,0.9871794871794872,0.2151898734177215,0.6025641025641025,0.0886075949367088,0.8533333333333334,0.9620253164556962,1.0,0.9746835443037974,6.33,4.5,6.0,4.0,7.0,1.5,0.0277219664135992,30.0,10.0,15.0,10.0,6.0,99
,GEN,Gen Digital Inc.,Technology,Software - Infrastructure,76.58,69.83,83.33,B-,B+,NONE,,NONE,NONE,0,,0,False,False,False,False,False,27.67,20.37,14.3,7.5,29.149999618530277,28.5386217880249,24.60338320732117,0.0214228225541681,0.1847963905165768,46.62285117483125,11.660775003622614,15.696451883879291,False,False,0.2724252217857119,0.403691425851719,31.649999618530277,-0.0789889425002177,5538900.0,6418125.0,0.8630090563832895,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,OVERSOLD,NORMAL,8.771797,6.5426254,3.4189818,10.377,0.0890943993684166,0.41944,0.084910005,0.35554,0.20732,0.1465900735417971,0.063,0.64,3.07831,1547124992.0,1570000000.0,OK,OK,,,31,17365008384.0,94.04,8,,3.0,Yearly,0.5405405405405406,0.935897435897436,0.7341772151898734,0.8974358974358975,0.8987341772151899,0.7466666666666667,0.4810126582278481,0.7721518987341772,0.5316455696202531,307.831,6.3,6.0,2.0,0.0,1.5,0.004825901018403,30.0,20.0,12.0,7.0,6.0,58
