Signal Rank,Ticker,Short Name,Sector,Industry,Combined Score,Fundamental Score,Technical Score,Fundamental Grade,Technical Grade,Primary Signal,Signals,Radar Category,Signal Confidence,Signal Count,Risk Flags,Risk Flag Count,Signal Quality Value,Signal Fallen Angel,Signal Recovery,Signal Deep Value Reversal,Signal Quality Momentum,Value Score,Quality Score,Growth Score,Stability Score,Price,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Technical State,Trend State,RSI State,Stochastic State,Drawdown State,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,Data Quality,Technical Data Quality,Failed Reason,Technical Failed Reason,Fundamental Rank,Market Cap,Fundamental Percentile,Sector Fundamental Rank,Quality Value Signal,Revenue CAGR Years Used,Revenue CAGR Method,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Daily Return,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,79.65,80.41,78.89,A-,B+,RECOVERY,RECOVERY|QUALITY_MOMENTUM,RECOVERY,MEDIUM,2,,0,False,False,True,False,True,20.5,28.91,16.5,14.5,121.3000030517578,114.08046417236328,110.2567182159424,0.0632846204805634,0.1001597454967477,48.38701989223077,12.138209494066745,24.58762590392716,False,False,0.292561725198339,0.2304213938549641,135.0089504972229,-0.1015410266873164,5108400.0,8039275.0,0.6354304337144829,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,CORRECTION,12.1026745,3.7082334,5.0466166,7.433,0.0677955604276697,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,0.151,0.114,0.15807,8815875072.0,12627999744.0,OK,OK,,,1,130036170752.0,100.0,1,,3.0,Yearly,0.2727272727272727,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,15.807,9.0,4.0,3.5,7.0,1.5,-0.0182112500560394,30.0,18.0,12.0,7.0,4.0,80
2,IT,"Gartner, Inc.",Technology,Information Technology Services,77.21,75.53,78.89,B+,B+,RECOVERY,RECOVERY,RECOVERY,MEDIUM,1,,0,False,False,True,False,False,31.14,19.83,10.5,14.06,179.32000732421875,175.3724008178711,174.72689998626709,0.0225098503979959,0.026287350936305,46.97598749105967,36.00219739762744,38.887416803075375,False,False,0.3744156177394444,0.1845686453969623,265.8500061035156,-0.325484283591117,854900.0,1085565.0,0.7875161782113461,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,DEEP_DRAWDOWN,11.356655,-71.50885,1.8150518,9.807,0.0897178223564378,1.13581,0.1017,0.22623,0.11996,0.0586658790595906,-0.006,0.331,,1052553024.0,1382615040.0,OK,OK,,,12,11731816448.0,97.81,3,,3.0,Yearly,,0.8461538461538461,0.8734177215189873,0.9230769230769232,0.9113924050632912,0.9066666666666666,0.5949367088607594,0.4683544303797468,0.3291139240506329,,4.5,6.0,0.0,0.0,1.5,0.0044813075992136,30.0,18.0,12.0,7.0,4.0,80
,APA,APA Corporation,Energy,Oil & Gas E&P,84.99,78.87,91.11,B+,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,29.79,27.58,8.0,13.5,43.68000030517578,40.53202484130859,34.45428143501282,0.0776663755682618,0.2677669794845203,52.29318583271644,26.84827299579938,25.67187988027457,True,False,0.3197549524595693,0.0853398060645078,47.43999862670898,-0.0792579770315655,6136100.0,5516595.0,1.1122984377138434,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,NORMAL,10.218629,2.241035,1.8339094,3.511,0.1365593400342943,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,0.092,0.263,0.48854,2146749952.0,4528000000.0,OK,OK,,,2,15720271872.0,99.8,1,,3.0,Yearly,0.6842105263157895,0.8421052631578947,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,48.854,0.0,6.0,2.0,6.0,1.5,-0.0004576763710409,30.0,16.0,15.0,15.0,6.0,4
,INCY,Incyte Corporation,Healthcare,Biotechnology,81.54,78.64,84.44,B+,B+,NONE,,NONE,NONE,0,,0,False,False,False,False,False,20.21,27.63,16.3,14.5,124.44000244140624,122.86279998779295,105.99090003967284,0.0128371032873253,0.1740630789513799,50.63407738858748,44.56631869118216,45.92888460216085,False,False,0.1473354553920638,0.3732067829373335,132.60000610351562,-0.0615384863235917,1404500.0,1443605.0,0.972911565144205,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,14.102783,3.9695258,4.3646226,10.762,0.0464827589404283,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,0.377,0.377,0.00603,1180664576.0,1979703040.0,OK,OK,,,3,25400053760.0,99.6,1,,3.0,Yearly,0.4545454545454545,0.6271186440677966,0.3833333333333333,0.711864406779661,0.6333333333333333,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,0.603,6.3,6.0,4.0,7.0,1.5,-0.0016045968326504,30.0,18.0,15.0,7.0,6.0,32
,MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,78.05,72.77,83.33,B,B+,NONE,,NONE,NONE,0,,0,False,False,False,False,False,23.31,26.7,8.7,14.06,40.79999923706055,40.20500030517578,35.02110687255859,0.014799127654979,0.1650116995311221,46.16974534285905,24.47487840004348,35.43914179489176,False,False,0.1606613924301325,0.3581644375198136,44.935001373291016,-0.0920218540081825,2876200.0,3566645.0,0.806416113742747,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,9.437384,-41.901066,2.8257906,10.935,0.0938490694052353,,0.17361,0.28771,0.20169,0.0302622369907936,-0.012,0.504,,930664000.0,1207619968.0,PARTIAL,OK,,,20,9916603392.0,96.22,1,,3.0,Yearly,,0.8,0.35,0.55,0.8,,1.0,0.8,0.8,,2.7,6.0,0.0,0.0,1.5,0.0079051308903879,30.0,20.0,12.0,7.0,6.0,47
,NVDA,NVIDIA Corporation,Technology,Semiconductors,77.91,73.6,82.22,B,B+,NONE,,NONE,NONE,0,,0,False,False,False,False,False,10.99,29.11,19.0,14.5,224.5800018310547,215.436728515625,198.92745330810547,0.0424406431457975,0.1289542901010132,54.84451296478789,61.210300607520736,68.01576861557264,False,False,0.1486221092318607,0.2597567957661157,236.0005559723521,-0.0483920645620655,77305200.0,126507375.0,0.611072674616796,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,14.173006,23.438786,17.715132,26.498,0.0077899531839449,1.17211,0.53572,0.66236997,0.63663,1.0004509499443963,1.059,1.278,0.16971,41809874944.0,134359998464.0,OK,OK,,,17,5367153557504.0,96.82,6,,3.0,Yearly,0.1621621621621621,0.717948717948718,0.1012658227848101,0.3205128205128205,0.1265822784810126,0.9333333333333332,1.0,0.9746835443037974,0.9873417721518988,16.971,9.0,6.0,4.0,7.0,1.5,-0.0041239532545555,30.0,18.0,15.0,7.0,4.0,52
,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,77.88,64.65,91.11,C+,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,22.8,21.85,12.5,7.5,100.80999755859376,96.12659942626954,94.4789497756958,0.0487211464909507,0.0670101413905277,53.08796109264147,49.1199951171875,57.92424616450757,False,False,0.2395179551084296,0.2552608719112874,148.02000427246094,-0.318943422180745,9574900.0,2597860.0,3.6856874504399775,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,DEEP_DRAWDOWN,8.837905,1838.8679,2.4182687,10.864,0.0976214625868004,4.42861,0.09882,0.27056998,0.17834999,0.0656472226630486,0.066,0.298,573.3433,1204950016.0,1728800000.0,OK,OK,,,73,12343085056.0,85.69,21,,3.0,Yearly,0.0135135135135135,0.9230769230769232,0.8354430379746836,0.8846153846153846,0.9493670886075948,1.0,0.5822784810126582,0.5569620253164557,0.4683544303797468,57334.33,4.5,6.0,2.0,0.0,1.5,0.0459638974000766,30.0,20.0,15.0,7.0,10.0,4
,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,77.22,66.65,87.78,B-,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,12.7,23.3,17.15,13.5,497.9299926757813,473.08757873535154,430.4685702514648,0.0525112369401834,0.1567162554629895,54.46288821781419,47.719970703125,45.79982659579065,False,False,0.4139029510800396,0.3474229895417249,549.2013167264516,-0.0933561564569369,16637200.0,21337655.0,0.7797107976485701,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,NORMAL,20.929373,8.289767,11.049291,19.144,0.0045125085995553,0.34039003,0.14088,0.45111,0.40305,0.1612397915820203,0.177,0.317,0.29118,16545500160.0,182934994944.0,OK,OK,,,51,3666585845760.0,90.06,13,,3.0,Yearly,0.4729729729729729,0.358974358974359,0.2658227848101265,0.5,0.050632911392405,0.5866666666666667,0.7848101265822784,0.8987341772151899,0.9113924050632912,29.118,7.65,6.0,3.5,6.0,1.5,-0.0053137371532968,30.0,20.0,15.0,10.0,4.0,11
,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,75.96,78.59,73.33,B+,B,NONE,,NONE,NONE,0,,0,False,False,False,False,False,29.7,20.9,13.5,14.5,227.1699981689453,256.2062344360352,222.20808967590327,-0.113331497693664,0.0223300083281354,27.31861264638817,3.79623414887908,3.077101780174681,True,False,-0.0232275060174809,0.1061558928171406,276.07103450236866,-0.1771320791461147,2966500.0,1846230.0,1.6067878866663416,RECOVERY,UPTREND,OVERSOLD,OVERSOLD,CORRECTION,9.049241,2.0019872,0.9006872,3.911,0.2399598676758265,0.46113998,0.086780004,0.22827,0.18971,0.0983526693314704,0.118,0.612,0.22261,15158625280.0,12469000192.0,OK,OK,,,4,63171502080.0,99.4,1,,3.0,Yearly,0.5714285714285714,0.890625,0.953125,1.0,1.0,0.9365079365079364,0.84375,0.3125,0.359375,22.261,4.5,6.0,3.0,7.0,1.5,0.0066914583104276,22.0,11.0,8.0,15.0,10.0,114
,CRM,"Salesforce, Inc.",Technology,Software - Application,75.31,60.62,90.0,C+,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,23.58,13.04,13.5,10.5,238.22000122070312,210.80071746826167,200.5977766418457,0.1300720608627419,0.1875505561860211,53.64140250725517,11.859748693964326,7.450414276159988,False,False,0.5621832440987555,0.3105309804194138,267.7988593124239,-0.1104517702863437,11060900.0,17015915.0,0.6500326312161291,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,OVERSOLD,CORRECTION,14.859358,5.1020756,4.4564652,17.581,0.0905573816882715,0.19381,0.05704,0.21375,0.2199,0.0982000611383049,0.108,1.189,1.10417,17731874816.0,15749999616.0,OK,OK,,,134,195808165888.0,73.56,34,,3.0,Yearly,0.6621621621621622,0.6794871794871795,0.5569620253164557,0.5384615384615384,0.9240506329113924,0.3466666666666667,0.2911392405063291,0.4430379746835443,0.6075949367088608,110.417,4.5,6.0,3.0,3.0,1.5,0.0026938268571254,30.0,20.0,15.0,12.0,4.0,6
