Fundamental Rank,Ticker,Short Name,Sector,Industry,Market Cap,Fundamental Score,Fundamental Grade,Fundamental Percentile,Value Score,Quality Score,Growth Score,Stability Score,Sector Fundamental Rank,Quality Value Signal,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue CAGR Years Used,Revenue CAGR Method,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Data Quality,Failed Reason,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Technical Data Quality,Price,Daily Return,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Trend State,RSI State,Stochastic State,Drawdown State,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Score,Technical Grade,Technical State,Technical Failed Reason,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,130036170752.0,80.41,A-,100.0,20.5,28.91,16.5,14.5,1,,12.1026745,3.7082334,5.0466166,7.433,0.0677955604276697,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,3.0,Yearly,0.151,0.114,0.15807,8815875072.0,12627999744.0,0.2727272727272727,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,OK,,15.807,9.0,4.0,3.5,7.0,1.5,OK,123.05000305175781,-0.0029171104421747973,112.9326594543457,109.92853527069092,0.08958740231830076,0.11936361881613577,51.417945969088784,28.478068532008532,31.706750556465323,False,False,0.21125880295705457,0.2901259320638938,135.0089504972229,-0.08857892311155391,5645600.0,8185290.0,0.6897251044251334,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,30.0,20.0,15.0,7.0,4.0,84.44,B+,STRONG_UPTREND,,46
2,APA,APA Corporation,Energy,Oil & Gas E&P,15720271872.0,78.87,B+,99.8,29.79,27.58,8.0,13.5,1,,10.218629,2.241035,1.8339094,3.511,0.1365593400342943,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,3.0,Yearly,0.092,0.263,0.48854,2146749952.0,4528000000.0,0.6842105263157895,0.8421052631578947,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,OK,,48.854,0.0,6.0,2.0,6.0,1.5,OK,43.810001373291016,-0.02362374824663771,40.15875183105469,34.27954189300537,0.09092039407989838,0.2780217865814101,52.851452019416776,22.929979638745667,45.00002723945119,False,False,0.2900102385072334,0.1356087112324762,47.439998626708984,-0.07651765089584683,6000900.0,5489915.0,1.093077033068818,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,30.0,18.0,15.0,7.0,6.0,84.44,B+,STRONG_UPTREND,,46
3,INCY,Incyte Corporation,Healthcare,Biotechnology,25400053760.0,78.64,B+,99.6,20.21,27.63,16.3,14.5,1,,14.102783,3.9695258,4.3646226,10.762,0.0464827589404283,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,3.0,Yearly,0.377,0.377,0.00603,1180664576.0,1979703040.0,0.4545454545454545,0.6271186440677966,0.3833333333333333,0.711864406779661,0.6333333333333333,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,OK,,0.603,6.3,6.0,4.0,7.0,1.5,OK,124.6500015258789,-0.005266906436625196,122.4633999633789,105.75530002593995,0.017855143358373793,0.17866434585599422,51.130157869262604,46.66002866157736,58.72382957619201,False,False,0.20248887827737905,0.3730998369908147,132.60000610351562,-0.059954782893678504,1270500.0,1394745.0,0.9109192002839228,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,30.0,20.0,15.0,7.0,6.0,86.67,A,STRONG_UPTREND,,28
4,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualty,63171502080.0,78.59,B+,99.4,29.7,20.9,13.5,14.5,1,,9.049241,2.0019872,0.9006872,3.911,0.2399598676758265,0.46113998,0.086780004,0.22827,0.18971,0.0983526693314704,3.0,Yearly,0.118,0.612,0.22261,15158625280.0,12469000192.0,0.5714285714285714,0.890625,0.953125,1.0,1.0,0.9365079365079364,0.84375,0.3125,0.359375,OK,,22.261,4.5,6.0,3.0,7.0,1.5,OK,242.86000061035156,-0.027898975982142193,257.24362518310545,221.98911239624024,-0.05591440628515343,0.09401762090411792,35.65850825363488,5.337083123616943,9.326609161182724,False,False,0.09575284126114258,0.19227450713653482,276.07103450236866,-0.12029887145488327,2354200.0,1620670.0,1.4526091061104358,UPTREND,BEARISH,OVERSOLD,CORRECTION,22.0,16.0,10.0,7.0,6.0,67.78,B,UPTREND,,191
5,FSLR,"First Solar, Inc.",Technology,Solar,21059780608.0,78.47,B+,99.2,31.71,18.26,14.0,14.5,1,,8.428706,2.0405912,3.9158614,8.184,0.0759117499729653,0.18509,0.08619001,0.42641997,0.32465,0.258374947984624,3.0,Yearly,-0.037,0.233,0.0187999999999999,1598684800.0,2155742976.0,0.9324324324324323,0.9487179487179488,0.6455696202531646,0.9615384615384616,0.8607594936708861,0.3333333333333333,0.4936708860759494,0.8607594936708861,0.8607594936708861,OK,,1.88,9.0,5.0,0.0,7.0,1.5,OK,199.83999633789062,0.019799905547507102,213.53640045166014,227.7907511138916,-0.06414084008534215,-0.12270364200180384,44.18132243575089,33.05890385079051,30.356790539229223,False,False,-0.24046973712963315,0.03640695336074784,320.95001220703125,-0.37734853174274907,1835500.0,2043540.0,0.8981962672617125,STRONG_DOWNTREND,BEARISH,BULLISH,DEEP_DRAWDOWN,0.0,6.0,12.0,10.0,6.0,37.78,D,STRONG_DOWNTREND,,396
6,CINF,Cincinnati Financial Corporatio,Financial Services,Insurance - Property & Casualty,25937790976.0,77.42,B+,99.01,22.6,21.32,19.0,14.5,2,,18.712864,1.5550668,1.8588068,5.709,0.1150782273926826,0.21484,0.06409,0.37202,0.23843001,0.2438798815724228,3.0,Yearly,0.316,0.855,0.05255,2984875008.0,3416999936.0,0.6984126984126984,0.15625,0.765625,0.945945945945946,0.75,0.746031746031746,0.796875,0.59375,0.53125,OK,,5.255,9.0,6.0,4.0,7.0,1.5,OK,166.85000610351562,-0.012721857375647239,174.28499969482422,166.49516105651855,-0.04265997420505141,0.0021312634237857786,37.13602531066974,1.081869200014672,17.835491743844035,False,False,-0.02722713416871758,0.06516869168250983,194.80999755859375,-0.1435244176658259,520400.0,595285.0,0.8742031127947117,UPTREND,BEARISH,OVERSOLD,CORRECTION,22.0,9.0,10.0,7.0,6.0,60.0,C+,UPTREND,,249
7,ADBE,Adobe Inc.,Technology,Software - Application,98945695744.0,77.24,B+,98.81,26.79,24.65,13.3,12.5,2,,8.994958,8.358068,3.81,10.194,0.0922715777310973,0.61902,0.19731002,0.34822,0.28048,0.1052233993251612,3.0,Yearly,0.129,0.105,0.5748,9129875456.0,10805999616.0,0.4594594594594595,0.9102564102564102,0.6708860759493671,0.9102564102564102,0.9367088607594936,0.8133333333333334,0.8734177215189873,0.759493670886076,0.7721518987341772,OK,,57.48,6.3,4.0,3.0,5.0,1.5,OK,249.52000427246094,0.0024104375218112484,256.57639892578123,264.6217000579834,-0.027502118990147095,-0.057068999942988086,42.83941442049978,15.107523802644184,16.71068461459281,False,False,0.28024634215733446,0.005520896271099973,370.30999755859375,-0.32618615236554704,5179400.0,5530505.0,0.9365148390608091,STRONG_DOWNTREND,BEARISH,OVERSOLD,DEEP_DRAWDOWN,0.0,16.0,12.0,7.0,6.0,45.56,C,STRONG_DOWNTREND,,343
8,EIX,Edison International,Utilities,Utilities - Regulated Electric,21284061184.0,76.94,B+,98.61,33.58,27.16,8.7,7.5,1,,8.505436,1.219921,1.0958173,7.416,0.0038702670175522,0.19734,0.04092,0.26899,0.19281,0.0390477611131692,3.0,Yearly,-0.041,0.551,2.28042,82375000.0,6391000064.0,0.967741935483871,0.935483870967742,0.935483870967742,1.0,0.935483870967742,0.935483870967742,0.967741935483871,0.7741935483870968,0.9032258064516128,OK,,228.042,2.7,6.0,0.0,0.0,1.5,OK,54.95000076293945,-0.006508779631406836,68.76800056457519,67.36949031829835,-0.20093647755048838,-0.18434887211823858,33.835155805757154,32.84183731388008,27.889104547580644,False,False,-0.22988484423637368,-0.1932084463910998,81.62000274658203,-0.32675816082056464,3839800.0,7295195.0,0.5263464513285799,DOWNTREND,BEARISH,BULLISH,DEEP_DRAWDOWN,10.0,0.0,10.0,10.0,4.0,37.78,D,DOWNTREND,,396
9,BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,130102091776.0,76.5,B+,98.41,18.07,28.72,15.65,14.06,1,,13.5680275,-11.802334,4.6068516,12.472,0.0593831743558883,,0.2038,0.34412,0.25527,0.1634869878187224,3.0,Yearly,0.081,1.3,,7725875200.0,9859000320.0,,0.6,0.109090909090909,0.4727272727272727,0.6666666666666666,,0.9636363636363636,0.9454545454545454,0.9454545454545454,PARTIAL,,,7.65,6.0,2.0,0.0,1.5,OK,168.52000427246094,0.0036927361436285278,192.37351989746094,183.91700607299805,-0.12399583704511108,-0.08371711854871067,28.62702933197731,6.599342229444813,4.963152897249042,True,False,0.006896211564658916,-0.02087131875697834,222.9545362694913,-0.24415081616116507,6994700.0,7187185.0,0.9732183045239547,DOWNTREND,OVERSOLD,OVERSOLD,MAJOR_DRAWDOWN,10.0,9.0,8.0,15.0,6.0,53.33,C,RECOVERY,,272
10,VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,26117558272.0,76.39,B+,98.21,28.0,26.24,9.65,12.5,1,,7.93311,0.8953308,6.373861,12.116,0.0102241177838693,0.09849,0.04818,0.70182997,0.67496,0.1549005493277442,3.0,Yearly,0.057,-0.414,0.60277,267028992.0,2638275072.0,0.9642857142857144,1.0,0.6774193548387096,0.967741935483871,0.0967741935483871,0.7142857142857143,0.8709677419354839,1.0,1.0,OK,,60.277,7.65,0.0,2.0,5.0,1.5,OK,24.049999237060547,0.01391230747297123,25.529186935424804,26.644145450592042,-0.05794104223161556,-0.09736271025625454,35.21216443849704,19.144331271348214,9.518232220852122,True,False,-0.06057428593481651,-0.07113431201751896,30.842622554927438,-0.22023494616159667,9138500.0,10176435.0,0.8980060305991243,STRONG_DOWNTREND,BEARISH,OVERSOLD,MAJOR_DRAWDOWN,0.0,6.0,10.0,15.0,6.0,41.11,D,RECOVERY,,372
