Signal Rank,Ticker,Short Name,Sector,Industry,Combined Score,Fundamental Score,Technical Score,Fundamental Grade,Technical Grade,Primary Signal,Signals,Radar Category,Signal Confidence,Signal Count,Risk Flags,Risk Flag Count,Signal Quality Value,Signal Fallen Angel,Signal Recovery,Signal Deep Value Reversal,Signal Quality Momentum,Value Score,Quality Score,Growth Score,Stability Score,Price,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Technical State,Trend State,RSI State,Stochastic State,Drawdown State,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,Data Quality,Technical Data Quality,Failed Reason,Technical Failed Reason,Fundamental Rank,Market Cap,Fundamental Percentile,Sector Fundamental Rank,Quality Value Signal,Revenue CAGR Years Used,Revenue CAGR Method,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Daily Return,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,83.21,80.86,85.56,A-,A,QUALITY_MOMENTUM,QUALITY_MOMENTUM,MOMENTUM,MEDIUM,1,,0,False,False,False,False,True,20.95,28.91,16.5,14.5,124.38999938964844,111.79756118774414,109.60193965911866,0.1126360724520416,0.134925164431608,53.50961858689197,34.80276647582602,23.923830785510727,False,False,0.1796057563788173,0.1727049942461807,135.0089504972229,-0.078653682355622,5362400.0,7837315.0,0.6842139176490928,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,NORMAL,12.574593,3.8103967,5.1856527,7.643,0.0659778477283687,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,0.151,0.114,0.15807,8815875072.0,12627999744.0,OK,OK,,,1,133618712576.0,100.0,1,,3.0,Yearly,0.3181818181818182,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,15.807,9.0,4.0,3.5,7.0,1.5,0.021599845657652,30.0,18.0,15.0,10.0,4.0,51
2,MU,"Micron Technology, Inc.",Technology,Semiconductors,78.95,75.69,82.22,B+,B+,RECOVERY,RECOVERY,RECOVERY,MEDIUM,1,,0,False,False,True,False,False,18.54,28.14,14.5,14.5,977.5,926.7738024902344,636.1393769073486,0.0547341728623151,0.5366129428305604,53.8105784235182,53.57653666212032,29.530279772019075,False,False,-0.062826160179334,1.11825313845578,1254.8069810301963,-0.2209957270101632,21983400.0,24300995.0,0.9046296252478552,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,MAJOR_DRAWDOWN,6.24902,10.93157,12.20121,15.857,0.0069358443704176,0.66638,0.3487,0.80370003,0.55906,0.0671348972693626,3.457,13.685,0.0633,7639499776.0,51432001536.0,OK,OK,,,12,1101452017664.0,97.81,4,,3.0,Yearly,0.4054054054054054,0.9871794871794872,0.240506329113924,0.6666666666666666,0.0897435897435897,0.8513513513513513,0.9615384615384616,1.0,0.9746835443037974,6.33,4.5,6.0,4.0,7.0,1.5,0.0549889513553323,30.0,13.0,15.0,10.0,6.0,74
3,IT,"Gartner, Inc.",Technology,Information Technology Services,73.54,75.97,71.11,B+,B,RECOVERY,RECOVERY,RECOVERY,MEDIUM,1,,0,False,False,True,False,False,31.63,19.78,10.5,14.06,187.8000030517578,171.63780059814454,175.70924991607666,0.0941645861068438,0.0688111362461338,52.70276830807544,58.93970198929697,69.38961268734356,False,False,0.4058990902641091,0.1877055960732452,265.8500061035156,-0.2935866137289724,754300.0,1089165.0,0.6925488791872673,UPTREND,NEUTRAL,NEUTRAL,BEARISH,MAJOR_DRAWDOWN,10.978263,-69.12625,1.7545761,9.525,0.0928101654600432,1.13581,0.1017,0.22623,0.11996,0.0586658790595906,-0.006,0.331,,1052553024.0,1382615040.0,OK,OK,,,11,11340923904.0,98.01,3,,3.0,Yearly,,0.8717948717948718,0.8734177215189873,0.9230769230769232,0.935897435897436,0.9054054054054054,0.5897435897435898,0.4683544303797468,0.3291139240506329,,4.5,6.0,0.0,0.0,1.5,-0.0196795120756062,20.0,18.0,15.0,7.0,4.0,159
,INCY,Incyte Corporation,Healthcare,Biotechnology,84.84,79.69,90.0,B+,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,21.26,27.63,16.3,14.5,127.62000274658205,122.16879989624024,105.52290004730224,0.0446202537388562,0.2094057563749141,57.658431074448046,76.27121093643032,47.191753660537785,False,False,0.2892211890156138,0.3835646758694173,132.60000610351562,-0.0375565846735022,1468800.0,1275010.0,1.1519909647767468,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,NORMAL,13.670618,3.847884,4.230873,10.361,0.0479522054493345,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,0.377,0.377,0.00603,1180664576.0,1979703040.0,OK,OK,,,3,24621694976.0,99.6,1,,3.0,Yearly,0.4545454545454545,0.6440677966101694,0.3833333333333333,0.8135593220338984,0.65,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,0.603,6.3,6.0,4.0,7.0,1.5,0.0230060340407376,30.0,20.0,15.0,10.0,6.0,7
,APA,APA Corporation,Energy,Oil & Gas E&P,83.19,79.71,86.67,B+,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,30.63,27.58,8.0,13.5,45.459999084472656,39.710424194335936,34.0839875125885,0.1447875465142174,0.333764104557384,60.13855612310749,63.26531045552728,74.3883019608187,False,False,0.3492472754515459,0.2588469503262611,47.43999862670898,-0.0417369224189138,5075100.0,5236885.0,0.9691066349557036,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,10.175067,2.2340426,1.8281875,3.502,0.1369867502652423,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,0.092,0.263,0.48854,2146749952.0,4528000000.0,OK,OK,,,2,15671223296.0,99.8,1,,3.0,Yearly,0.6842105263157895,0.9473684210526316,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,48.854,0.0,6.0,2.0,6.0,1.5,0.0149586549508875,30.0,20.0,15.0,7.0,6.0,40
,MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,80.28,73.89,86.67,B,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,24.43,26.7,8.7,14.06,43.77000045776367,39.95320030212402,34.846042766571045,0.0955317753465856,0.2560967324460059,64.0613100628568,75.85490712300717,78.89464717020662,False,False,0.24620857612895,0.4390369349756904,44.935001373291016,-0.0259263576259688,3339100.0,3203940.0,1.042185559030444,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BEARISH,NEAR_52W_HIGH,9.260432,-41.11542,2.772807,10.779,0.0956423694494688,,0.17361,0.28771,0.20169,0.0302622369907936,-0.012,0.504,,930664000.0,1207619968.0,PARTIAL,OK,,,18,9730666496.0,96.62,1,,3.0,Yearly,,0.85,0.35,0.6,0.8,,1.0,0.8,0.8,,2.7,6.0,0.0,0.0,1.5,0.0043597663773753,30.0,20.0,15.0,7.0,6.0,40
,TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,78.85,67.71,90.0,B-,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,23.61,19.1,11.5,13.5,379.489990234375,368.0902423095703,313.5337400817872,0.0309699813102279,0.2103641226471599,62.21161996930388,82.24586740738931,79.49730960828911,False,False,0.2441188102724838,0.2777925233619891,397.3414841188364,-0.0449273347937724,1368000.0,1410425.0,0.969920414059592,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,NORMAL,12.420288,2.3630478,1.5977734,7.166,0.1888017579794364,0.26511,0.04775,0.23698,0.16951999,0.0979010912931077,0.003,0.571,0.27378,14775124992.0,11025999872.0,OK,OK,,,41,78257348608.0,92.05,9,,3.0,Yearly,0.4444444444444444,0.515625,0.828125,0.8378378378378378,0.975,0.8412698412698413,0.703125,0.359375,0.3125,27.378,4.5,6.0,1.0,6.0,1.5,0.0015042140463485,30.0,20.0,15.0,10.0,6.0,7
,NVDA,NVIDIA Corporation,Technology,Semiconductors,78.67,74.01,83.33,B,B+,NONE,,NONE,NONE,0,,0,False,False,False,False,False,11.41,29.1,19.0,14.5,219.33999633789065,213.6726449584961,197.8074687194824,0.0265235233106013,0.1088559888956681,51.871199439539126,40.71559621218467,24.27552216574124,False,False,0.072980411736969,0.218632807188227,236.0005559723521,-0.0705954253616814,93960500.0,129797330.0,0.7239016395791809,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,NORMAL,14.022135,23.019087,17.39792,26.021,0.007931984607549,1.17211,0.53572,0.66236997,0.63663,1.0004509499443963,1.059,1.278,0.16971,41809874944.0,134359998464.0,OK,OK,,,17,5271048421376.0,96.82,6,,3.0,Yearly,0.1621621621621621,0.7435897435897436,0.1012658227848101,0.3461538461538461,0.1282051282051282,0.9324324324324323,1.0,0.9746835443037974,0.9873417721518988,16.971,9.0,6.0,4.0,7.0,1.5,0.0254324572072635,30.0,16.0,15.0,10.0,4.0,71
,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,78.41,66.82,90.0,B-,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,12.81,23.36,17.15,13.5,497.75,461.99663696289065,430.0251383972168,0.0773887950183958,0.1574904710343361,55.714868286386185,36.9729048712847,28.497962935932996,False,False,0.3161094516788911,0.2755994102777812,549.2012543795508,-0.0936837889011685,17819200.0,20072660.0,0.8877348592563218,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,NORMAL,21.025343,8.320827,11.090689,19.215,0.0044956649406392,0.34039003,0.14088,0.45111,0.40305,0.1612397915820203,0.177,0.317,0.29118,16545500160.0,182934994944.0,OK,OK,,,50,3680323239936.0,90.26,13,,3.0,Yearly,0.4729729729729729,0.358974358974359,0.2658227848101265,0.5128205128205128,0.0512820512820512,0.5945945945945946,0.782051282051282,0.8987341772151899,0.9113924050632912,29.118,7.65,6.0,3.5,6.0,1.5,0.0151948039822857,30.0,20.0,15.0,10.0,6.0,7
,GEN,Gen Digital Inc.,Technology,Software - Infrastructure,78.11,69.55,86.67,B-,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,27.24,20.51,14.3,7.5,30.209999084472656,28.408865966796878,24.5713060092926,0.0634003877444764,0.2294828395791237,53.97805789700424,31.428558453413014,56.73893666885948,False,False,0.2679973478814514,0.4823026221155619,31.649999618530277,-0.045497647753984,4768900.0,5826570.0,0.818474677211464,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,9.149762,6.8245378,3.566301,10.687,0.0854140244451914,0.41944,0.084910005,0.35554,0.20732,0.1465900735417971,0.063,0.64,3.07831,1547124992.0,1570000000.0,OK,OK,,,30,18113243136.0,94.23,8,,3.0,Yearly,0.527027027027027,0.9102564102564102,0.7088607594936709,0.8974358974358975,0.8974358974358975,0.7567567567567568,0.4871794871794871,0.7721518987341772,0.5316455696202531,307.831,6.3,6.0,2.0,0.0,1.5,-0.0143556456617899,30.0,20.0,15.0,7.0,6.0,40
