Signal Rank,Ticker,Short Name,Sector,Industry,Combined Score,Fundamental Score,Technical Score,Fundamental Grade,Technical Grade,Primary Signal,Signals,Radar Category,Signal Confidence,Signal Count,Risk Flags,Risk Flag Count,Signal Quality Value,Signal Fallen Angel,Signal Recovery,Signal Deep Value Reversal,Signal Quality Momentum,Value Score,Quality Score,Growth Score,Stability Score,Price,MA50,MA200,Price vs MA50,Price vs MA200,RSI14,Stoch K,Stoch D,Stoch Bullish Cross,Stoch Bearish Cross,Momentum 3M,Momentum 6M,52W High,52W Drawdown,Volume,Volume 20D Avg,Volume Ratio,Technical State,Trend State,RSI State,Stochastic State,Drawdown State,Forward PER,PBR,PSR,EV/EBITDA,FCF Yield,ROE,ROA,Operating Margin,Profit Margin,Revenue CAGR,Revenue Growth,Earnings Growth,Debt/Equity,Free Cash Flow,Operating Cash Flow,Data Quality,Technical Data Quality,Failed Reason,Technical Failed Reason,Fundamental Rank,Market Cap,Fundamental Percentile,Sector Fundamental Rank,Quality Value Signal,Revenue CAGR Years Used,Revenue CAGR Method,PBR Percentile,Forward PER Percentile,PSR Percentile,EV/EBITDA Percentile,FCF Yield Percentile,ROE Percentile,ROA Percentile,Operating Margin Percentile,Profit Margin Percentile,Debt/Equity Raw,Growth CAGR Raw,Growth Earnings Raw,Growth Revenue Raw,Stability Debt Raw,Stability History Raw,Daily Return,Trend Score,Momentum Score,RSI Score,Stochastic Score,Volume Score,Technical Rank
1,NEM,Newmont Corporation,Basic Materials,Gold,84.09,80.41,87.78,A-,A,QUALITY_MOMENTUM,QUALITY_MOMENTUM,MOMENTUM,MEDIUM,1,,0,False,False,False,False,True,20.5,28.91,16.5,14.5,123.41000366210938,112.37350036621092,109.76278366088869,0.0982126859084382,0.1243337636496508,51.99407047474004,31.83941666156141,26.584915918627026,False,False,0.1915107453367239,0.2495529970940369,135.0089504972229,-0.0859124287122884,21490000.0,8428110.0,2.549800607728186,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,NORMAL,12.1026745,3.7082334,5.0466166,7.433,0.0677955604276697,0.25905,0.15755,0.51569,0.33363998,0.2391183028460648,0.151,0.114,0.15807,8815875072.0,12627999744.0,OK,OK,,,1,130036170752.0,100.0,1,,3.0,Yearly,0.2727272727272727,0.6363636363636364,0.1363636363636363,0.9545454545454546,0.7727272727272727,0.9090909090909092,1.0,1.0,0.9545454545454546,15.807,9.0,4.0,3.5,7.0,1.5,-0.007878412511839,30.0,18.0,15.0,10.0,6.0,26
2,IT,"Gartner, Inc.",Technology,Information Technology Services,74.43,75.53,73.33,B+,B,RECOVERY,RECOVERY,RECOVERY,MEDIUM,1,,0,False,False,True,False,False,31.14,19.83,10.5,14.06,185.77999877929688,172.69960052490234,175.48424991607666,0.0757407557089768,0.0586705010172938,51.31537777217371,53.47580097289739,60.51755785641192,False,False,0.4572123452211019,0.1665201882907425,265.8500061035156,-0.3011848993264322,2571800.0,1175045.0,2.1886821355777863,UPTREND,NEUTRAL,NEUTRAL,BEARISH,DEEP_DRAWDOWN,11.356655,-71.50885,1.8150518,9.807,0.0897178223564378,1.13581,0.1017,0.22623,0.11996,0.0586658790595906,-0.006,0.331,,1052553024.0,1382615040.0,OK,OK,,,12,11731816448.0,97.81,3,,3.0,Yearly,,0.8461538461538461,0.8734177215189873,0.9230769230769232,0.9113924050632912,0.9066666666666666,0.5949367088607594,0.4683544303797468,0.3291139240506329,,4.5,6.0,0.0,0.0,1.5,-0.0107561461109466,20.0,18.0,15.0,7.0,6.0,144
,INCY,Incyte Corporation,Healthcare,Biotechnology,82.66,78.64,86.67,B+,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,20.21,27.63,16.3,14.5,125.30999755859376,122.30459991455078,105.63925003051756,0.0245730548658245,0.1862068078142698,52.52957675212575,53.2402491305684,59.05616086994883,False,False,0.2758093667400658,0.3481441815255868,132.60000610351562,-0.0549774374763667,3698700.0,1399590.0,2.6427025057338223,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,14.102783,3.9695258,4.3646226,10.762,0.0464827589404283,0.30667,0.16832,0.41899,0.27706,0.1483959547833886,0.377,0.377,0.00603,1180664576.0,1979703040.0,OK,OK,,,3,25400053760.0,99.6,1,,3.0,Yearly,0.4545454545454545,0.6271186440677966,0.3833333333333333,0.711864406779661,0.6333333333333333,0.8363636363636363,0.95,0.9833333333333332,0.9333333333333332,0.603,6.3,6.0,4.0,7.0,1.5,-0.0181006514517579,30.0,20.0,15.0,7.0,6.0,36
,APA,APA Corporation,Energy,Oil & Gas E&P,81.66,78.87,84.44,B+,B+,NONE,,NONE,NONE,0,,0,False,False,False,False,False,29.79,27.58,8.0,13.5,44.869998931884766,39.94667747497559,34.18482995986938,0.1232473328975449,0.3125704876858837,57.43999032961306,48.804791624080615,57.46649315769108,False,False,0.3680232842139541,0.1951722256402543,47.43999862670898,-0.0541736882213418,11917500.0,5518790.0,2.159440746975333,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,10.218629,2.241035,1.8339094,3.511,0.1365593400342943,0.26659,0.11598,0.56331,0.19564,-0.0695914204338425,0.092,0.263,0.48854,2146749952.0,4528000000.0,OK,OK,,,2,15720271872.0,99.8,1,,3.0,Yearly,0.6842105263157895,0.8421052631578947,0.7368421052631579,1.0,1.0,0.8421052631578947,1.0,1.0,0.7894736842105263,48.854,0.0,6.0,2.0,6.0,1.5,-0.0129784462047957,30.0,18.0,15.0,7.0,6.0,49
,NVDA,NVIDIA Corporation,Technology,Semiconductors,80.69,73.6,87.78,B,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,10.99,29.11,19.0,14.5,222.2700042724609,214.06697814941407,198.02136894226075,0.0383199043306965,0.1224546394145504,54.35544488057253,52.17544040000976,37.44323351977727,False,False,0.0561427290076155,0.2476370871454731,236.0005559723521,-0.0581801667513857,189683500.0,134670195.0,1.4085039380837014,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,NORMAL,14.173006,23.438786,17.715132,26.498,0.0077899531839449,1.17211,0.53572,0.66236997,0.63663,1.0004509499443963,1.059,1.278,0.16971,41809874944.0,134359998464.0,OK,OK,,,17,5367153557504.0,96.82,6,,3.0,Yearly,0.1621621621621621,0.717948717948718,0.1012658227848101,0.3205128205128205,0.1265822784810126,0.9333333333333332,1.0,0.9746835443037974,0.9873417721518988,16.971,9.0,6.0,4.0,7.0,1.5,0.0133582929857292,30.0,16.0,15.0,10.0,8.0,26
,MTCH,"Match Group, Inc.",Communication Services,Internet Content & Information,79.72,72.77,86.67,B,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,23.31,26.7,8.7,14.06,43.20000076293945,40.030800323486325,34.896209774017336,0.0791690501774389,0.2379568165911494,59.99066062471061,64.04144381327356,70.60448776991123,False,False,0.2251222620981761,0.3887047984452854,44.935001373291016,-0.0386113398759754,6193500.0,3371005.0,1.8372859132513892,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,9.437384,-41.901066,2.8257906,10.935,0.0938490694052353,,0.17361,0.28771,0.20169,0.0302622369907936,-0.012,0.504,,930664000.0,1207619968.0,PARTIAL,OK,,,20,9916603392.0,96.22,1,,3.0,Yearly,,0.8,0.35,0.55,0.8,,1.0,0.8,0.8,,2.7,6.0,0.0,0.0,1.5,-0.0130226111232109,30.0,20.0,15.0,7.0,6.0,36
,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,79.44,66.65,92.22,B-,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,12.7,23.3,17.15,13.5,493.7799987792969,464.1994812011719,430.0756817626953,0.0637237195991298,0.1481235041132875,53.25946856212137,26.239434648178417,25.580936992079728,False,False,0.3039261028789282,0.2744358696236919,549.2013167264516,-0.1009125729659515,39544100.0,21049945.0,1.878584480862064,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BULLISH,CORRECTION,20.929373,8.289767,11.049291,19.144,0.0045125085995553,0.34039003,0.14088,0.45111,0.40305,0.1612397915820203,0.177,0.317,0.29118,16545500160.0,182934994944.0,OK,OK,,,51,3666585845760.0,90.06,13,,3.0,Yearly,0.4729729729729729,0.358974358974359,0.2658227848101265,0.5,0.050632911392405,0.5866666666666667,0.7848101265822784,0.8987341772151899,0.9113924050632912,29.118,7.65,6.0,3.5,6.0,1.5,-0.0079758939642453,30.0,20.0,15.0,12.0,6.0,6
,MU,"Micron Technology, Inc.",Technology,Semiconductors,77.78,74.44,81.11,B,B+,NONE,,NONE,NONE,0,,0,False,False,False,False,False,17.27,28.17,14.5,14.5,1015.7999877929688,927.257001953125,640.0172520446778,0.0954891531186514,0.5871446973464689,58.27683103012842,80.97279876218302,50.56031825587954,False,False,-0.1040870922804667,1.2877598167028284,1254.8069810301963,-0.1904731140728933,35656400.0,24828615.0,1.4361010471184157,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BULLISH,CORRECTION,6.489501,11.385978,12.708394,16.528,0.0066590390804444,0.66638,0.3487,0.80370003,0.55906,0.0671348972693626,3.457,13.685,0.0633,7639499776.0,51432001536.0,OK,OK,,,15,1147237564416.0,97.22,5,,3.0,Yearly,0.3378378378378378,0.9871794871794872,0.2151898734177215,0.6025641025641025,0.0886075949367088,0.8533333333333334,0.9620253164556962,1.0,0.9746835443037974,6.33,4.5,6.0,4.0,7.0,1.5,0.0391815731897378,30.0,10.0,15.0,10.0,8.0,82
,CF,"CF Industries Holdings, Inc.",Basic Materials,Agricultural Inputs,77.22,75.55,78.89,B+,B+,NONE,,NONE,NONE,0,,0,False,False,False,False,False,24.0,28.55,9.5,13.5,127.6999969482422,124.94877105712892,109.70801067352296,0.0220188311404467,0.163998838045301,47.70381789609055,6.559541950428349,37.06859560544384,False,False,0.2470412756289355,0.0264575430665077,141.66000366210938,-0.0985458587673406,4627900.0,2703580.0,1.7117673603148418,STRONG_UPTREND,STRONG_UPTREND,NEUTRAL,BEARISH,NORMAL,11.949198,3.3678825,2.4972062,6.101,0.0660642654388338,0.29867,0.12934,0.49325,0.27122,-0.1412477014500929,0.176,0.996,0.4050399999999999,1276749952.0,2976999936.0,OK,OK,,,11,19325878272.0,98.01,2,,3.0,Yearly,0.4090909090909091,0.7727272727272727,0.4545454545454545,1.0,0.7272727272727273,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.9090909090909092,40.504,0.0,6.0,3.5,6.0,1.5,-0.0457331493126361,30.0,16.0,12.0,7.0,6.0,102
,TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,77.15,67.63,86.67,B-,A,NONE,,NONE,NONE,0,,0,False,False,False,False,False,23.53,19.1,11.5,13.5,374.6199951171875,368.8560400390625,313.97620346069334,0.0156265709448992,0.1931477321786463,55.3906692616966,63.03196984385297,75.09164645659494,False,False,0.2212106108764966,0.2716356689742931,397.3414841188364,-0.0571837824888512,3288800.0,1503155.0,2.187931384321644,STRONG_UPTREND,STRONG_UPTREND,BULLISH,BEARISH,NORMAL,12.388936,2.3593948,1.5953037,7.155,0.1890940621287271,0.26511,0.04775,0.23698,0.16951999,0.0979010912931077,0.003,0.571,0.27378,14775124992.0,11025999872.0,OK,OK,,,41,78136377344.0,92.05,9,,3.0,Yearly,0.4444444444444444,0.5,0.84375,0.8378378378378378,0.975,0.8412698412698413,0.703125,0.359375,0.3125,27.378,4.5,6.0,1.0,6.0,1.5,-0.0128330001910715,30.0,20.0,15.0,7.0,6.0,36
